Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 31,25 mV
Zero level = 91

N 	Smpl.	Trig

0	89	0
1	26	0
2	92	0
3	155	0
4	88	0
5	26	0
6	92	0
7	155	0
8	88	0
9	26	0
10	92	0
11	155	0
12	89	0
13	26	0
14	93	0
15	155	0
16	88	0
17	26	0
18	93	0
19	155	0
20	88	0
21	26	0
22	93	0
23	155	0
24	88	0
25	26	0
26	92	0
27	155	0
28	88	0
29	26	0
30	93	0
31	155	0
32	88	0
33	26	0
34	92	0
35	155	0
36	89	0
37	26	0
38	93	0
39	155	0
40	88	0
41	26	0
42	93	0
43	155	0
44	89	0
45	27	0
46	93	0
47	155	0
48	88	0
49	26	0
50	92	0
51	155	0
52	89	0
53	26	0
54	92	0
55	155	0
56	89	0
57	26	0
58	92	0
59	155	0
60	88	0
61	26	0
62	92	0
63	155	0
64	88	0
65	26	0
66	92	0
67	155	0
68	89	0
69	26	0
70	92	0
71	155	0
72	88	0
73	26	0
74	92	0
75	155	0
76	89	0
77	26	0
78	92	0
79	155	0
80	87	0
81	26	0
82	92	0
83	156	0
84	88	0
85	26	0
86	93	0
87	156	0
88	89	0
89	26	0
90	92	0
91	155	0
92	88	0
93	26	0
94	92	0
95	156	0
96	88	0
97	26	0
98	92	0
99	155	0
100	88	0
101	26	0
102	92	0
103	155	0
104	88	0
105	26	0
106	92	0
107	155	0
108	88	0
109	26	0
110	92	0
111	155	0
112	88	0
113	26	0
114	92	0
115	156	0
116	88	0
117	26	0
118	93	0
119	156	0
120	89	0
121	26	0
122	92	0
123	155	0
124	88	0
125	27	0
126	92	0
127	155	0
128	88	0
129	26	0
130	93	0
131	155	0
132	88	0
133	26	0
134	92	0
135	155	0
136	88	0
137	26	0
138	92	0
139	155	0
140	89	0
141	26	0
142	93	0
143	155	0
144	88	0
145	26	0
146	93	0
147	155	0
148	89	0
149	26	0
150	93	0
151	155	0
152	88	0
153	26	0
154	92	0
155	155	0
156	88	0
157	26	0
158	93	0
159	155	0
160	89	0
161	26	0
162	92	0
163	155	0
164	89	0
165	26	0
166	93	0
167	155	0
