Oscilloscope data. 
Time step = 50,00 nS
Voltage step = 31,25 mV
Zero level = 91

N 	Smpl.	Trig

0	91	0
1	90	0
2	91	0
3	90	0
4	91	0
5	90	0
6	90	0
7	90	0
8	90	0
9	90	0
10	90	0
11	91	0
12	90	0
13	90	0
14	90	0
15	90	0
16	90	0
17	90	0
18	90	0
19	91	0
20	91	0
21	91	0
22	90	0
23	90	0
24	90	0
25	90	0
26	90	0
27	90	0
28	90	0
29	90	0
30	90	0
31	90	0
32	90	0
33	91	0
34	90	0
35	91	0
36	91	0
37	91	0
38	91	0
39	90	0
40	90	0
41	90	0
42	91	0
43	90	0
44	91	0
45	90	0
46	90	0
47	90	0
48	90	0
49	90	0
50	90	0
51	90	0
52	91	0
53	91	0
54	90	0
55	90	0
56	91	0
57	90	0
58	90	0
59	90	0
60	91	0
61	91	0
62	91	0
63	90	0
64	91	0
65	91	0
66	91	0
67	90	0
68	90	0
69	90	0
70	90	0
71	91	0
72	91	0
73	90	0
74	90	0
75	90	0
76	90	0
77	90	0
78	90	0
79	91	0
80	90	0
81	90	0
82	90	0
83	90	0
84	90	0
85	91	0
86	90	0
87	90	0
88	90	0
89	91	0
90	91	0
91	91	0
92	91	0
93	91	0
94	91	0
95	90	0
96	91	0
97	90	0
98	90	0
99	91	0
100	91	0
101	92	0
102	91	0
103	91	0
104	90	0
105	90	0
106	91	0
107	90	0
108	91	0
109	90	0
110	90	0
111	91	0
112	90	0
113	90	0
114	90	0
115	90	0
116	90	0
117	91	0
118	91	0
119	91	0
120	91	0
121	91	0
122	91	0
123	90	0
124	90	0
125	90	0
126	91	0
127	91	0
128	90	0
129	90	0
130	91	0
131	91	0
132	91	0
133	91	0
134	91	0
135	91	0
136	90	0
137	90	0
138	90	0
139	90	0
140	90	0
141	91	0
142	91	0
143	90	0
144	91	0
145	91	0
146	90	0
147	91	0
148	90	0
149	91	0
150	91	0
151	90	0
152	90	0
153	90	0
154	90	0
155	90	0
156	90	0
157	90	0
158	90	0
159	91	0
160	90	0
161	91	0
162	90	0
163	90	0
164	91	0
165	91	0
166	91	0
167	91	0
168	91	0
169	90	0
170	91	0
171	90	0
172	90	0
173	91	0
174	90	0
175	91	0
176	91	0
177	91	0
178	91	0
179	91	0
180	91	0
181	90	0
182	90	0
183	91	0
184	91	0
185	90	0
186	91	0
187	91	0
188	90	0
189	91	0
190	90	0
191	90	0
192	91	0
193	91	0
194	91	0
195	90	0
196	90	0
197	91	0
198	90	0
199	90	0
200	90	0
201	90	0
202	90	0
203	90	0
204	90	0
205	90	0
206	91	0
207	91	0
208	91	0
209	90	0
210	90	0
211	90	0
212	90	0
213	90	0
214	90	0
215	90	0
216	91	0
217	91	0
218	90	0
219	91	0
220	90	0
221	90	0
222	91	0
223	90	0
224	91	0
225	90	0
226	90	0
227	90	0
228	90	0
229	90	0
230	90	0
231	91	0
232	91	0
233	90	0
234	90	0
235	90	0
236	90	0
237	90	0
238	90	0
239	90	0
240	90	0
241	91	0
242	90	0
243	90	0
244	90	0
245	91	0
246	90	0
247	91	0
248	90	0
249	90	0
250	91	0
251	91	0
252	91	0
253	91	0
254	91	0
255	91	0
256	91	0
257	90	0
258	90	0
259	90	0
260	91	0
261	91	0
262	91	0
263	90	0
264	90	0
265	91	0
266	91	0
267	91	0
268	90	0
269	91	0
270	91	0
271	90	0
272	90	0
273	90	0
274	90	0
275	90	0
276	91	0
277	90	0
278	91	0
279	91	0
280	91	0
281	91	0
282	91	0
283	91	0
284	90	0
285	91	0
286	90	0
287	90	0
288	90	0
289	91	0
290	90	0
291	91	0
292	90	0
293	91	0
294	91	0
295	91	0
296	91	0
297	90	0
298	90	0
299	91	0
300	90	0
301	90	0
302	90	0
303	91	0
304	90	0
305	91	0
306	90	0
307	91	0
308	90	0
309	90	0
310	90	0
311	90	0
312	90	0
313	90	0
314	90	0
315	90	0
316	90	0
317	90	0
318	90	0
319	91	0
320	90	0
321	91	0
322	91	0
323	90	0
324	90	0
325	90	0
326	90	0
327	91	0
328	91	0
329	91	0
330	90	0
331	90	0
332	90	0
333	90	0
334	90	0
335	90	0
336	90	0
337	90	0
338	90	0
339	91	0
340	91	0
341	91	0
342	91	0
343	90	0
344	91	0
345	90	0
346	90	0
347	91	0
348	90	0
349	90	0
350	90	0
351	90	0
352	90	0
353	90	0
354	90	0
355	90	0
356	91	0
357	90	0
358	90	0
359	90	0
360	90	0
361	91	0
362	90	0
363	91	0
364	91	0
365	90	0
366	91	0
367	90	0
368	90	0
369	90	0
370	90	0
371	90	0
372	90	0
373	90	0
374	90	0
375	90	0
376	90	0
377	90	0
378	90	0
379	90	0
380	90	0
381	90	0
382	91	0
383	90	0
384	90	0
385	90	0
386	90	0
387	90	0
388	91	0
389	90	0
390	90	0
391	90	0
392	90	0
393	90	0
394	90	0
395	90	0
396	90	0
397	90	0
398	90	0
399	90	0
400	91	0
401	91	0
402	90	0
403	91	0
404	90	0
405	90	0
406	90	0
407	90	0
408	91	0
409	91	0
410	91	0
411	91	0
412	90	0
413	90	0
414	90	0
415	91	0
416	91	0
417	91	0
418	91	0
419	90	0
420	91	0
421	90	0
422	91	0
423	90	0
424	90	0
425	90	0
426	91	0
427	90	0
428	90	0
429	90	0
430	90	0
431	90	0
432	90	0
433	90	0
434	90	0
435	90	0
436	91	0
437	90	0
438	90	0
439	91	0
440	91	0
441	91	0
442	90	0
443	90	0
444	90	0
445	90	0
