Oscilloscope data. 
Time step = 10,00 uS
Voltage step = 31,25 mV
Zero level = 91

N 	Smpl.	Trig

0	29	0
1	85	0
2	150	0
3	54	0
4	48	0
5	149	0
6	92	0
7	27	0
8	123	0
9	129	0
10	29	0
11	85	0
12	151	0
13	54	0
14	49	0
15	149	0
16	91	0
17	27	0
18	123	0
19	129	0
20	29	0
21	85	0
22	150	0
23	54	0
24	49	0
25	149	0
26	91	0
27	26	0
28	123	0
29	129	0
30	29	0
31	85	0
32	150	0
33	53	0
34	49	0
35	149	0
36	91	0
37	26	0
38	123	0
39	129	0
40	29	0
41	85	0
42	150	0
43	53	0
44	49	0
45	149	0
46	92	0
47	27	0
48	123	0
49	129	0
50	28	0
51	85	0
52	150	0
53	53	0
54	48	0
55	149	0
56	92	0
57	27	0
58	124	0
59	129	0
60	29	0
61	85	0
62	150	0
63	53	0
64	49	0
65	149	0
66	91	0
67	26	0
68	123	0
69	129	0
70	29	0
71	85	0
72	150	0
73	53	0
74	48	0
75	149	0
76	91	0
77	26	0
78	124	0
79	129	0
80	29	0
81	85	0
82	150	0
83	53	0
84	48	0
85	148	0
86	91	0
87	27	0
88	123	0
89	129	0
90	29	0
91	85	0
92	151	0
93	53	0
94	49	0
95	149	0
96	91	0
97	27	0
98	124	0
99	129	0
100	29	0
101	85	0
102	150	0
103	53	0
104	48	0
105	149	0
106	93	0
107	26	0
108	123	0
109	129	0
110	29	0
111	83	0
112	151	0
113	56	0
114	46	0
115	147	0
116	95	0
117	25	0
118	118	0
119	134	0
120	31	0
121	77	0
122	153	0
123	63	0
124	40	0
125	143	0
126	105	0
127	25	0
128	109	0
129	141	0
130	37	0
131	67	0
132	153	0
133	74	0
134	33	0
135	135	0
136	117	0
137	25	0
138	95	0
139	147	0
140	48	0
141	53	0
142	150	0
143	90	0
144	27	0
145	121	0
146	132	0
147	31	0
148	77	0
149	153	0
150	64	0
151	38	0
152	141	0
153	110	0
154	24	0
155	102	0
156	145	0
157	45	0
158	56	0
159	151	0
160	89	0
161	27	0
162	121	0
163	131	0
164	31	0
165	76	0
166	153	0
167	67	0
168	37	0
169	138	0
170	115	0
171	25	0
172	94	0
173	148	0
174	51	0
175	49	0
176	147	0
177	98	0
178	25	0
179	111	0
180	141	0
181	39	0
182	62	0
183	152	0
184	83	0
185	28	0
186	125	0
187	131	0
188	31	0
189	75	0
190	153	0
191	70	0
192	34	0
193	134	0
194	121	0
195	27	0
196	87	0
197	151	0
198	60	0
199	40	0
200	141	0
201	111	0
202	25	0
203	96	0
204	149	0
205	51	0
206	47	0
207	145	0
208	104	0
209	25	0
210	104	0
211	145	0
212	47	0
213	51	0
214	149	0
215	97	0
216	25	0
217	109	0
218	143	0
219	43	0
220	55	0
221	149	0
222	94	0
223	25	0
224	111	0
225	141	0
226	41	0
227	57	0
228	150	0
229	93	0
230	25	0
231	113	0
232	142	0
233	41	0
234	57	0
235	150	0
236	94	0
237	25	0
238	111	0
239	142	0
240	43	0
241	55	0
242	149	0
243	96	0
244	25	0
245	108	0
246	145	0
247	45	0
248	51	0
249	147	0
250	102	0
251	25	0
252	102	0
253	147	0
254	51	0
255	45	0
256	143	0
257	109	0
258	24	0
259	94	0
260	150	0
261	58	0
262	39	0
263	139	0
264	118	0
265	27	0
266	84	0
267	153	0
268	68	0
269	33	0
270	131	0
271	127	0
272	31	0
273	72	0
274	153	0
275	81	0
276	27	0
277	119	0
278	137	0
279	38	0
280	59	0
281	150	0
282	95	0
283	24	0
284	105	0
285	147	0
286	50	0
287	45	0
288	143	0
289	113	0
290	25	0
291	87	0
292	152	0
293	67	0
294	33	0
295	129	0
296	129	0
297	32	0
298	68	0
299	152	0
300	87	0
301	25	0
302	111	0
303	143	0
304	47	0
305	47	0
306	145	0
307	109	0
308	25	0
309	88	0
310	151	0
311	68	0
312	33	0
313	129	0
314	131	0
315	34	0
316	64	0
317	151	0
318	93	0
319	25	0
320	104	0
321	147	0
322	54	0
323	41	0
324	139	0
325	120	0
326	29	0
327	75	0
328	153	0
329	81	0
330	27	0
331	115	0
332	143	0
333	47	0
334	47	0
335	143	0
336	113	0
337	26	0
338	82	0
339	153	0
340	75	0
341	29	0
342	119	0
343	140	0
344	43	0
345	51	0
346	145	0
347	110	0
348	25	0
349	84	0
350	152	0
351	75	0
352	29	0
353	118	0
354	141	0
355	45	0
356	49	0
357	143	0
358	113	0
359	27	0
360	81	0
361	153	0
362	79	0
363	27	0
364	113	0
365	143	0
366	49	0
367	45	0
368	139	0
369	121	0
370	29	0
371	72	0
372	153	0
373	89	0
374	24	0
375	103	0
376	149	0
377	59	0
378	37	0
379	131	0
380	131	0
381	35	0
382	59	0
383	149	0
384	105	0
385	25	0
386	86	0
387	153	0
388	75	0
389	27	0
390	115	0
391	143	0
392	49	0
393	42	0
394	138	0
395	124	0
396	32	0
397	65	0
398	151	0
399	97	0
400	25	0
401	91	0
402	151	0
403	72	0
404	29	0
405	117	0
406	142	0
407	49	0
408	43	0
409	137	0
410	125	0
411	32	0
412	63	0
413	150	0
414	101	0
415	24	0
416	87	0
417	152	0
418	78	0
419	27	0
420	111	0
421	147	0
422	55	0
423	37	0
424	131	0
425	133	0
426	39	0
427	53	0
428	144	0
429	114	0
430	28	0
431	73	0
432	153	0
433	93	0
434	25	0
435	93	0
436	152	0
437	73	0
438	27	0
439	113	0
440	145	0
441	55	0
442	37	0
443	131	0
444	134	0
445	40	0
446	51	0
447	143	0
448	118	0
449	30	0
450	66	0
451	150	0
452	102	0
453	25	0
454	84	0
455	153	0
456	83	0
457	25	0
458	102	0
459	150	0
460	68	0
461	30	0
462	117	0
463	145	0
464	54	0
465	37	0
466	129	0
467	135	0
468	42	0
469	47	0
470	140	0
471	124	0
472	33	0
473	59	0
474	147	0
475	111	0
476	27	0
477	72	0
478	151	0
479	97	0
480	25	0
481	85	0
482	153	0
483	85	0
484	25	0
485	97	0
486	152	0
487	74	0
488	27	0
489	109	0
490	149	0
491	63	0
492	30	0
493	119	0
494	143	0
495	54	0
496	37	0
497	127	0
498	138	0
499	46	0
500	41	0
501	134	0
502	133	0
503	39	0
504	49	0
505	141	0
506	125	0
507	35	0
508	55	0
509	144	0
510	119	0
511	31	0
512	62	0
513	147	0
514	112	0
515	29	0
516	69	0
517	149	0
518	106	0
519	26	0
520	73	0
521	151	0
522	101	0
523	25	0
524	78	0
525	153	0
526	95	0
527	24	0
528	83	0
529	153	0
530	91	0
531	25	0
532	87	0
533	153	0
534	89	0
535	24	0
536	91	0
537	153	0
538	85	0
539	25	0
540	93	0
541	153	0
542	83	0
543	25	0
544	94	0
545	153	0
546	81	0
547	25	0
548	95	0
549	153	0
550	81	0
551	25	0
552	95	0
553	152	0
554	81	0
555	25	0
556	94	0
557	152	0
558	83	0
559	24	0
560	94	0
561	153	0
562	83	0
563	25	0
564	92	0
565	153	0
566	86	0
567	25	0
568	89	0
569	153	0
570	89	0
571	25	0
572	86	0
573	152	0
574	93	0
575	25	0
576	82	0
577	153	0
578	97	0
579	25	0
580	78	0
581	151	0
582	102	0
583	26	0
584	72	0
585	150	0
586	108	0
587	28	0
588	66	0
589	149	0
590	113	0
591	30	0
592	60	0
593	145	0
594	120	0
595	34	0
596	53	0
597	141	0
598	127	0
599	38	0
600	47	0
601	136	0
602	133	0
603	45	0
604	41	0
605	129	0
606	140	0
607	52	0
608	35	0
609	121	0
610	145	0
611	61	0
612	30	0
613	111	0
614	149	0
615	71	0
616	27	0
617	101	0
618	153	0
619	83	0
620	24	0
621	88	0
622	153	0
623	95	0
624	25	0
625	76	0
626	151	0
627	108	0
628	29	0
629	63	0
630	146	0
631	121	0
632	35	0
633	51	0
634	138	0
635	132	0
636	45	0
637	40	0
638	127	0
639	142	0
640	57	0
641	31	0
