Oscilloscope data. 
Time step = 10,00 uS
Voltage step = 31,25 mV
Zero level = 91

N 	Smpl.	Trig

0	59	0
1	118	0
2	59	0
3	117	0
4	59	0
5	117	0
6	59	0
7	118	0
8	59	0
9	118	0
10	59	0
11	118	0
12	59	0
13	118	0
14	59	0
15	117	0
16	59	0
17	118	0
18	59	0
19	118	0
20	59	0
21	117	0
22	59	0
23	118	0
24	59	0
25	118	0
26	59	0
27	118	0
28	59	0
29	118	0
30	59	0
31	118	0
32	59	0
33	118	0
34	59	0
35	118	0
36	59	0
37	118	0
38	59	0
39	118	0
40	59	0
41	118	0
42	59	0
43	118	0
44	59	0
45	117	0
46	59	0
47	118	0
48	59	0
49	117	0
50	59	0
51	118	0
52	59	0
53	118	0
54	59	0
55	118	0
56	59	0
57	118	0
58	59	0
59	117	0
60	59	0
61	117	0
62	59	0
63	118	0
64	59	0
65	118	0
66	59	0
67	117	0
68	59	0
69	118	0
70	59	0
71	118	0
72	59	0
73	118	0
74	59	0
75	117	0
76	59	0
77	117	0
78	59	0
79	118	0
80	59	0
81	118	0
82	59	0
83	118	0
84	59	0
85	118	0
86	59	0
87	117	0
88	59	0
89	118	0
90	59	0
91	118	0
92	59	0
93	118	0
94	59	0
95	118	0
96	59	0
97	117	0
98	59	0
99	118	0
100	59	0
101	118	0
102	59	0
103	118	0
104	59	0
105	117	0
106	59	0
107	117	0
108	61	0
109	115	0
110	62	0
111	113	0
112	64	0
113	111	0
114	67	0
115	109	0
116	69	0
117	105	0
118	73	0
119	102	0
120	77	0
121	97	0
122	81	0
123	93	0
124	86	0
125	89	0
126	91	0
127	83	0
128	97	0
129	77	0
130	103	0
131	71	0
132	109	0
133	65	0
134	115	0
135	57	0
136	122	0
137	52	0
138	129	0
139	45	0
140	135	0
141	39	0
142	141	0
143	35	0
144	145	0
145	30	0
146	149	0
147	26	0
148	151	0
149	24	0
150	153	0
151	24	0
152	151	0
153	27	0
154	149	0
155	30	0
156	143	0
157	37	0
158	137	0
159	45	0
160	126	0
161	55	0
162	115	0
163	69	0
164	102	0
165	81	0
166	88	0
167	95	0
168	73	0
169	110	0
170	59	0
171	125	0
172	47	0
173	136	0
174	35	0
175	145	0
176	29	0
177	151	0
178	25	0
179	153	0
180	25	0
181	150	0
182	31	0
183	141	0
184	41	0
185	129	0
186	55	0
187	113	0
188	73	0
189	94	0
190	93	0
191	74	0
192	112	0
193	56	0
194	129	0
195	40	0
196	143	0
197	29	0
198	151	0
199	24	0
200	152	0
201	27	0
202	145	0
203	37	0
204	132	0
205	55	0
206	113	0
207	75	0
208	89	0
209	99	0
210	65	0
211	122	0
212	45	0
213	141	0
214	30	0
215	151	0
216	24	0
217	153	0
218	29	0
219	142	0
220	43	0
221	123	0
222	65	0
223	99	0
224	91	0
225	73	0
226	117	0
227	48	0
228	140	0
229	30	0
230	151	0
231	25	0
232	151	0
233	31	0
234	137	0
235	50	0
236	113	0
237	78	0
238	84	0
239	107	0
240	55	0
241	134	0
242	33	0
243	150	0
244	24	0
245	152	0
246	31	0
247	137	0
248	51	0
249	110	0
250	83	0
251	77	0
252	115	0
253	47	0
254	141	0
255	29	0
256	153	0
257	25	0
258	145	0
259	41	0
260	122	0
261	71	0
262	88	0
263	106	0
264	54	0
265	137	0
266	31	0
267	153	0
268	25	0
269	147	0
270	41	0
271	121	0
272	72	0
273	86	0
274	110	0
275	49	0
276	141	0
277	28	0
278	153	0
279	27	0
280	141	0
281	50	0
282	109	0
283	87	0
284	69	0
285	126	0
286	37	0
287	149	0
288	25	0
289	149	0
290	39	0
291	123	0
292	74	0
293	82	0
294	115	0
295	44	0
296	146	0
297	25	0
298	151	0
299	34	0
300	127	0
301	69	0
302	86	0
303	113	0
304	45	0
305	145	0
306	25	0
307	151	0
308	35	0
309	125	0
310	73	0
311	81	0
312	117	0
313	40	0
314	149	0
315	24	0
316	148	0
317	43	0
318	115	0
319	86	0
320	67	0
321	130	0
322	31	0
323	153	0
324	27	0
325	138	0
326	58	0
327	94	0
328	107	0
329	48	0
330	145	0
331	25	0
332	149	0
333	41	0
334	115	0
335	86	0
336	65	0
337	134	0
338	29	0
339	153	0
340	31	0
341	129	0
342	71	0
343	79	0
344	122	0
345	35	0
346	152	0
347	27	0
348	137	0
349	61	0
350	89	0
351	115	0
352	40	0
353	150	0
354	25	0
355	141	0
356	57	0
357	93	0
358	112	0
359	41	0
360	150	0
361	25	0
362	141	0
363	57	0
364	91	0
365	115	0
366	39	0
367	151	0
368	26	0
369	137	0
370	63	0
371	85	0
372	121	0
373	34	0
374	153	0
375	29	0
376	130	0
377	75	0
378	73	0
379	131	0
380	29	0
381	151	0
382	37	0
383	117	0
384	91	0
385	56	0
386	143	0
387	24	0
388	146	0
389	52	0
390	95	0
391	113	0
392	38	0
393	151	0
394	28	0
395	130	0
396	76	0
397	69	0
398	137	0
399	25	0
400	149	0
401	45	0
402	103	0
403	107	0
404	41	0
405	151	0
406	27	0
407	130	0
408	77	0
409	67	0
410	138	0
411	25	0
412	147	0
413	51	0
414	94	0
415	117	0
416	34	0
417	153	0
418	33	0
419	118	0
420	93	0
421	51	0
422	149	0
423	25	0
424	137	0
425	71	0
426	70	0
427	137	0
428	25	0
429	147	0
430	54	0
431	88	0
432	123	0
433	29	0
434	152	0
435	41	0
436	103	0
437	110	0
438	37	0
439	153	0
440	34	0
441	115	0
442	98	0
443	45	0
444	151	0
445	29	0
446	125	0
447	89	0
448	51	0
449	149	0
450	26	0
451	129	0
452	83	0
453	57	0
454	147	0
455	25	0
456	133	0
457	78	0
458	60	0
459	145	0
460	25	0
461	135	0
462	77	0
463	61	0
464	145	0
465	25	0
466	134	0
467	79	0
468	58	0
469	147	0
470	25	0
471	131	0
472	83	0
473	54	0
474	149	0
475	27	0
476	125	0
477	90	0
478	47	0
479	151	0
480	31	0
481	117	0
482	99	0
483	40	0
484	153	0
485	37	0
486	106	0
487	113	0
488	33	0
489	151	0
490	46	0
491	91	0
492	126	0
493	26	0
494	147	0
495	60	0
496	73	0
