Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 31,25 mV
Zero level = 91

N 	Smpl.	Trig

0	132	0
1	140	0
2	50	0
3	41	0
4	132	0
5	140	0
6	49	0
7	42	0
8	133	0
9	140	0
10	51	0
11	42	0
12	133	0
13	140	0
14	51	0
15	41	0
16	132	0
17	140	0
18	50	0
19	41	0
20	132	0
21	140	0
22	50	0
23	41	0
24	133	0
25	140	0
26	51	0
27	41	0
28	132	0
29	140	0
30	50	0
31	41	0
32	132	0
33	140	0
34	51	0
35	42	0
36	132	0
37	141	0
38	51	0
39	41	0
40	132	0
41	140	0
42	51	0
43	42	0
44	132	0
45	140	0
46	51	0
47	41	0
48	132	0
49	140	0
50	50	0
51	41	0
52	132	0
53	140	0
54	50	0
55	42	0
56	132	0
57	140	0
58	50	0
59	42	0
60	132	0
61	140	0
62	50	0
63	42	0
64	132	0
65	140	0
66	51	0
67	42	0
68	132	0
69	140	0
70	51	0
71	42	0
72	132	0
73	140	0
74	51	0
75	41	0
76	133	0
77	140	0
78	50	0
79	42	0
80	132	0
81	140	0
82	50	0
83	41	0
84	133	0
85	140	0
86	49	0
87	41	0
88	132	0
89	140	0
90	50	0
91	42	0
92	132	0
93	140	0
94	50	0
95	41	0
96	132	0
97	140	0
98	51	0
99	42	0
100	132	0
101	140	0
102	49	0
103	42	0
104	132	0
105	140	0
106	50	0
107	42	0
108	132	0
109	140	0
110	50	0
111	41	0
112	132	0
113	140	0
114	50	0
115	43	0
116	132	0
117	140	0
118	50	0
119	43	0
120	132	0
121	140	0
122	51	0
123	42	0
124	132	0
125	140	0
126	50	0
127	41	0
128	132	0
129	140	0
130	50	0
131	42	0
132	132	0
133	140	0
134	50	0
135	42	0
136	133	0
137	140	0
138	51	0
139	41	0
140	132	0
141	140	0
142	51	0
143	42	0
144	132	0
145	140	0
146	50	0
147	42	0
148	132	0
149	140	0
150	51	0
151	42	0
152	132	0
153	140	0
154	51	0
155	42	0
156	132	0
157	140	0
158	50	0
159	42	0
160	132	0
161	140	0
162	50	0
163	42	0
164	132	0
165	140	0
166	51	0
167	43	0
168	133	0
169	140	0
170	51	0
171	42	0
172	133	0
173	140	0
174	51	0
175	42	0
176	132	0
177	140	0
178	51	0
179	42	0
180	132	0
181	140	0
182	50	0
183	42	0
184	132	0
185	140	0
186	50	0
187	42	0
188	132	0
189	140	0
190	49	0
191	43	0
192	132	0
193	140	0
194	50	0
195	41	0
196	132	0
197	140	0
198	51	0
199	42	0
200	132	0
201	140	0
202	50	0
203	43	0
204	132	0
205	140	0
206	50	0
207	41	0
208	132	0
209	140	0
210	50	0
211	41	0
