Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 31,25 mV
Zero level = 91

N 	Smpl.	Trig

0	87	0
1	109	0
2	131	0
3	147	0
4	155	0
5	153	0
6	143	0
7	127	0
8	104	0
9	80	0
10	57	0
11	40	0
12	29	0
13	27	0
14	34	0
15	49	0
16	70	0
17	94	0
18	117	0
19	137	0
20	150	0
21	155	0
22	151	0
23	139	0
24	119	0
25	96	0
26	72	0
27	51	0
28	35	0
29	27	0
30	28	0
31	39	0
32	56	0
33	78	0
34	102	0
35	124	0
36	143	0
37	153	0
38	155	0
39	148	0
40	132	0
41	111	0
42	88	0
43	65	0
44	45	0
45	32	0
46	27	0
47	31	0
48	44	0
49	63	0
50	87	0
51	110	0
52	131	0
53	147	0
54	155	0
55	153	0
56	144	0
57	126	0
58	104	0
59	80	0
60	57	0
61	40	0
62	29	0
63	27	0
64	35	0
65	49	0
66	70	0
67	93	0
68	117	0
69	137	0
70	151	0
71	155	0
72	151	0
73	139	0
74	119	0
75	96	0
76	72	0
77	51	0
78	35	0
79	27	0
80	29	0
81	39	0
82	56	0
83	78	0
84	101	0
85	124	0
86	143	0
87	153	0
88	155	0
89	148	0
90	132	0
91	112	0
92	88	0
93	64	0
94	45	0
95	32	0
96	27	0
97	31	0
98	44	0
99	63	0
100	86	0
101	109	0
102	131	0
103	147	0
104	155	0
105	153	0
106	144	0
107	127	0
108	104	0
109	80	0
110	58	0
111	40	0
112	28	0
113	27	0
114	35	0
115	49	0
116	70	0
117	93	0
118	117	0
119	136	0
120	151	0
121	155	0
122	152	0
123	139	0
124	119	0
125	96	0
126	72	0
127	51	0
128	35	0
129	28	0
130	28	0
131	39	0
132	56	0
133	78	0
134	102	0
135	124	0
136	142	0
137	153	0
138	155	0
139	148	0
140	132	0
141	111	0
142	88	0
143	65	0
144	45	0
145	32	0
146	27	0
147	31	0
148	43	0
149	63	0
150	87	0
151	109	0
152	131	0
153	147	0
154	155	0
155	153	0
156	143	0
157	126	0
158	104	0
159	80	0
160	57	0
161	40	0
162	29	0
163	27	0
164	35	0
165	49	0
166	71	0
167	93	0
168	117	0
169	137	0
170	151	0
171	155	0
172	151	0
173	139	0
174	119	0
175	96	0
176	72	0
177	51	0
178	36	0
179	27	0
180	28	0
181	39	0
182	56	0
183	77	0
184	102	0
185	124	0
186	143	0
187	153	0
188	155	0
189	147	0
190	132	0
191	111	0
192	88	0
193	65	0
194	46	0
195	32	0
196	27	0
197	31	0
198	44	0
199	63	0
200	87	0
201	109	0
202	131	0
203	146	0
204	155	0
205	153	0
206	143	0
207	126	0
208	104	0
209	80	0
210	57	0
211	41	0
212	28	0
213	27	0
214	35	0
215	49	0
216	70	0
217	93	0
218	117	0
219	137	0
220	151	0
221	155	0
222	151	0
223	139	0
224	119	0
225	96	0
226	72	0
227	51	0
228	35	0
229	27	0
230	28	0
231	39	0
232	55	0
233	78	0
234	101	0
235	124	0
236	142	0
237	153	0
238	155	0
239	148	0
240	132	0
241	111	0
242	88	0
243	64	0
244	45	0
245	31	0
246	27	0
247	31	0
248	43	0
249	63	0
250	86	0
251	110	0
252	131	0
253	147	0
254	155	0
255	153	0
256	143	0
257	126	0
258	104	0
259	80	0
260	57	0
261	40	0
262	29	0
263	27	0
264	34	0
265	49	0
266	69	0
267	93	0
268	117	0
269	137	0
270	150	0
271	155	0
272	151	0
273	139	0
274	119	0
275	96	0
276	72	0
277	51	0
278	35	0
279	27	0
280	29	0
281	39	0
282	56	0
283	79	0
284	102	0
285	124	0
286	143	0
287	153	0
288	155	0
289	148	0
290	132	0
291	111	0
292	88	0
293	65	0
294	44	0
295	31	0
296	27	0
297	31	0
298	43	0
299	63	0
300	85	0
301	109	0
302	131	0
303	146	0
304	155	0
305	153	0
306	143	0
307	126	0
308	104	0
309	80	0
310	57	0
311	39	0
312	29	0
313	27	0
314	34	0
315	49	0
316	70	0
317	94	0
318	117	0
319	137	0
320	150	0
321	155	0
322	151	0
323	138	0
324	119	0
325	96	0
326	72	0
327	51	0
328	35	0
329	27	0
330	28	0
331	39	0
332	56	0
333	78	0
334	102	0
335	124	0
336	143	0
337	153	0
338	155	0
339	147	0
340	132	0
341	111	0
342	88	0
343	64	0
344	45	0
345	31	0
346	27	0
347	31	0
348	43	0
349	63	0
350	87	0
351	109	0
352	131	0
353	147	0
354	155	0
355	153	0
356	143	0
357	126	0
358	104	0
359	80	0
360	57	0
361	40	0
362	29	0
363	27	0
364	34	0
365	49	0
366	71	0
367	93	0
368	117	0
369	137	0
370	151	0
371	155	0
372	152	0
373	139	0
374	119	0
375	96	0
376	72	0
377	51	0
378	35	0
379	27	0
380	28	0
381	39	0
382	56	0
383	78	0
384	101	0
385	124	0
386	143	0
387	153	0
388	155	0
389	148	0
390	132	0
391	111	0
392	88	0
393	65	0
394	45	0
395	32	0
396	27	0
397	31	0
398	43	0
399	63	0
400	87	0
401	109	0
402	131	0
403	147	0
404	155	0
405	153	0
406	144	0
407	125	0
408	104	0
409	80	0
410	58	0
411	40	0
412	29	0
413	27	0
414	35	0
415	49	0
416	69	0
417	93	0
418	117	0
419	137	0
420	150	0
421	155	0
422	151	0
423	139	0
424	119	0
425	96	0
426	72	0
427	51	0
428	35	0
429	27	0
430	29	0
431	39	0
432	56	0
433	78	0
434	102	0
435	124	0
436	141	0
437	153	0
438	155	0
439	148	0
440	132	0
441	112	0
442	88	0
443	64	0
444	45	0
445	31	0
446	27	0
447	31	0
448	43	0
449	63	0
450	86	0
451	109	0
452	131	0
453	147	0
454	155	0
455	153	0
456	144	0
457	126	0
458	103	0
459	80	0
460	58	0
461	40	0
462	29	0
463	27	0
464	34	0
465	49	0
466	70	0
467	93	0
468	117	0
469	136	0
470	151	0
471	155	0
472	151	0
473	139	0
474	119	0
475	96	0
476	72	0
477	51	0
478	35	0
479	28	0
480	29	0
481	39	0
482	55	0
483	78	0
484	102	0
485	124	0
486	143	0
487	153	0
488	155	0
489	147	0
490	132	0
491	111	0
492	88	0
493	64	0
494	45	0
495	32	0
496	27	0
497	31	0
498	44	0
499	63	0
500	87	0
501	109	0
502	131	0
503	147	0
504	155	0
505	153	0
506	143	0
507	126	0
508	104	0
509	80	0
510	57	0
511	40	0
512	29	0
513	27	0
514	35	0
515	49	0
516	71	0
517	93	0
518	117	0
519	137	0
520	151	0
521	155	0
522	151	0
523	139	0
524	119	0
525	95	0
526	72	0
527	51	0
528	36	0
529	27	0
530	28	0
531	39	0
532	56	0
533	78	0
534	102	0
535	124	0
536	143	0
537	153	0
538	155	0
539	147	0
540	132	0
541	111	0
542	88	0
543	65	0
544	45	0
545	31	0
546	27	0
547	31	0
548	43	0
549	63	0
550	86	0
551	109	0
552	131	0
553	146	0
554	155	0
555	153	0
556	144	0
557	127	0
558	104	0
559	80	0
560	57	0
561	39	0
562	29	0
563	27	0
564	33	0
565	49	0
566	70	0
567	93	0
568	117	0
569	136	0
570	151	0
571	155	0
572	152	0
573	139	0
574	119	0
575	95	0
576	72	0
577	51	0
578	35	0
579	28	0
580	28	0
581	39	0
582	56	0
583	79	0
584	103	0
585	124	0
586	143	0
587	153	0
588	155	0
589	148	0
590	132	0
591	111	0
592	88	0
593	64	0
594	45	0
595	31	0
596	27	0
597	31	0
598	43	0
599	63	0
600	87	0
601	109	0
602	131	0
603	147	0
604	155	0
605	153	0
606	143	0
607	126	0
608	104	0
609	80	0
610	57	0
611	40	0
612	29	0
613	27	0
614	35	0
615	49	0
616	70	0
617	93	0
618	117	0
619	137	0
620	150	0
621	155	0
622	151	0
623	138	0
624	119	0
625	95	0
626	72	0
627	51	0
628	35	0
629	27	0
630	28	0
631	39	0
632	56	0
633	78	0
634	102	0
635	124	0
636	143	0
637	153	0
638	155	0
639	147	0
640	132	0
641	111	0
642	88	0
643	64	0
644	45	0
645	31	0
646	27	0
647	31	0
648	44	0
649	63	0
650	86	0
651	109	0
652	131	0
653	147	0
654	155	0
655	153	0
656	143	0
657	126	0
658	103	0
659	81	0
660	57	0
661	40	0
662	29	0
663	27	0
664	35	0
665	49	0
666	70	0
667	93	0
668	117	0
669	136	0
670	151	0
671	155	0
672	151	0
673	138	0
674	119	0
675	96	0
676	72	0
677	51	0
678	35	0
679	27	0
680	28	0
681	39	0
682	56	0
683	78	0
684	102	0
685	124	0
686	143	0
687	152	0
688	155	0
689	148	0
690	133	0
691	111	0
692	88	0
693	64	0
694	45	0
695	31	0
696	27	0
697	31	0
698	43	0
699	63	0
700	87	0
701	109	0
702	131	0
703	147	0
704	155	0
705	153	0
706	143	0
707	126	0
708	104	0
709	80	0
710	57	0
711	40	0
712	29	0
713	27	0
714	35	0
715	49	0
716	70	0
717	93	0
718	117	0
719	137	0
720	151	0
721	155	0
722	151	0
723	139	0
724	119	0
725	96	0
726	72	0
727	51	0
728	35	0
729	27	0
730	28	0
731	39	0
732	56	0
733	77	0
734	102	0
735	124	0
736	143	0
737	153	0
738	155	0
739	147	0
740	133	0
741	112	0
742	88	0
743	65	0
744	45	0
745	31	0
746	27	0
747	31	0
748	44	0
749	63	0
750	86	0
751	109	0
752	131	0
753	147	0
754	155	0
755	153	0
756	143	0
757	126	0
758	104	0
759	80	0
760	57	0
761	40	0
762	29	0
763	27	0
764	34	0
765	49	0
766	70	0
767	93	0
768	117	0
769	137	0
770	151	0
771	155	0
772	151	0
773	139	0
774	119	0
775	96	0
776	72	0
777	51	0
778	35	0
779	28	0
780	28	0
781	39	0
782	56	0
783	77	0
784	102	0
785	124	0
786	142	0
787	153	0
788	155	0
789	147	0
790	132	0
791	111	0
792	88	0
793	64	0
794	45	0
795	31	0
796	27	0
797	31	0
798	44	0
799	63	0
800	85	0
801	109	0
802	131	0
803	147	0
804	154	0
805	154	0
806	144	0
807	126	0
808	104	0
809	80	0
810	57	0
811	40	0
812	29	0
813	27	0
814	35	0
815	49	0
816	70	0
817	94	0
818	117	0
819	136	0
820	151	0
821	155	0
822	151	0
823	139	0
824	119	0
825	96	0
826	72	0
827	51	0
828	35	0
829	27	0
830	28	0
831	39	0
832	56	0
833	78	0
834	102	0
835	124	0
836	143	0
837	153	0
838	155	0
839	148	0
840	132	0
841	111	0
842	88	0
843	64	0
844	46	0
845	31	0
846	27	0
847	31	0
848	43	0
849	63	0
850	87	0
851	109	0
852	131	0
853	147	0
854	155	0
855	153	0
856	143	0
857	126	0
858	104	0
859	80	0
860	57	0
861	40	0
862	29	0
863	27	0
864	34	0
865	49	0
866	71	0
867	93	0
868	117	0
869	137	0
870	151	0
871	155	0
872	152	0
873	139	0
874	119	0
875	96	0
876	72	0
877	51	0
878	35	0
879	27	0
880	28	0
881	39	0
882	56	0
883	77	0
884	102	0
885	124	0
886	143	0
887	153	0
888	155	0
889	147	0
890	132	0
891	111	0
892	88	0
893	64	0
894	46	0
895	32	0
896	27	0
897	31	0
898	44	0
899	62	0
900	87	0
901	109	0
902	131	0
903	147	0
904	155	0
905	153	0
906	144	0
907	126	0
908	103	0
909	80	0
910	57	0
911	40	0
912	29	0
913	27	0
914	35	0
915	49	0
916	70	0
917	94	0
918	117	0
919	136	0
920	149	0
921	155	0
922	151	0
923	138	0
924	119	0
925	95	0
926	72	0
927	51	0
928	35	0
929	28	0
930	28	0
931	39	0
932	56	0
933	78	0
934	101	0
935	124	0
936	143	0
937	152	0
938	155	0
939	148	0
940	132	0
941	111	0
942	88	0
943	64	0
944	45	0
945	32	0
946	27	0
947	31	0
948	44	0
949	63	0
950	85	0
951	109	0
952	131	0
953	147	0
954	155	0
955	153	0
956	144	0
957	126	0
958	104	0
959	80	0
960	57	0
961	40	0
962	29	0
963	27	0
964	35	0
965	49	0
966	70	0
967	93	0
968	117	0
969	136	0
970	151	0
971	156	0
972	151	0
973	139	0
974	119	0
975	95	0
976	72	0
977	51	0
978	35	0
979	28	0
980	29	0
981	39	0
982	56	0
983	78	0
984	101	0
985	124	0
986	143	0
987	153	0
988	155	0
989	147	0
990	132	0
991	111	0
992	88	0
993	65	0
994	45	0
995	31	0
996	27	0
997	31	0
998	43	0
999	63	0
