Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 31,25 mV
Zero level = 91

N 	Smpl.	Trig

0	80	0
1	104	0
2	126	0
3	143	0
4	153	0
5	154	0
6	146	0
7	131	0
8	109	0
9	85	0
10	62	0
11	42	0
12	30	0
13	26	0
14	30	0
15	45	0
16	64	0
17	87	0
18	111	0
19	133	0
20	147	0
21	154	0
22	152	0
23	142	0
24	123	0
25	101	0
26	77	0
27	54	0
28	38	0
29	28	0
30	27	0
31	34	0
32	50	0
33	72	0
34	96	0
35	118	0
36	139	0
37	150	0
38	155	0
39	150	0
40	137	0
41	117	0
42	93	0
43	69	0
44	48	0
45	33	0
46	26	0
47	28	0
48	39	0
49	57	0
50	80	0
51	104	0
52	126	0
53	143	0
54	153	0
55	154	0
56	146	0
57	129	0
58	109	0
59	85	0
60	62	0
61	42	0
62	30	0
63	26	0
64	31	0
65	45	0
66	65	0
67	89	0
68	111	0
69	133	0
70	147	0
71	155	0
72	152	0
73	141	0
74	123	0
75	100	0
76	77	0
77	55	0
78	38	0
79	28	0
80	26	0
81	34	0
82	50	0
83	72	0
84	96	0
85	118	0
86	138	0
87	150	0
88	155	0
89	149	0
90	137	0
91	116	0
92	93	0
93	69	0
94	48	0
95	33	0
96	26	0
97	29	0
98	38	0
99	58	0
100	79	0
101	103	0
102	126	0
103	142	0
104	153	0
105	154	0
106	145	0
107	130	0
108	109	0
109	85	0
110	62	0
111	43	0
112	30	0
113	26	0
114	31	0
115	45	0
116	64	0
117	88	0
118	110	0
119	133	0
120	148	0
121	155	0
122	153	0
123	142	0
124	123	0
125	101	0
126	77	0
127	55	0
128	38	0
129	28	0
130	27	0
131	35	0
132	50	0
133	73	0
134	96	0
135	119	0
136	139	0
137	150	0
138	155	0
139	149	0
140	137	0
141	116	0
142	92	0
143	69	0
144	48	0
145	33	0
146	26	0
147	29	0
148	38	0
149	58	0
150	80	0
151	103	0
152	126	0
153	143	0
154	153	0
155	154	0
156	145	0
157	130	0
158	109	0
159	85	0
160	62	0
161	42	0
162	30	0
163	26	0
164	31	0
165	45	0
166	64	0
167	88	0
168	111	0
169	133	0
170	148	0
171	155	0
172	153	0
173	141	0
174	123	0
175	101	0
176	77	0
177	54	0
178	37	0
179	28	0
180	27	0
181	35	0
182	51	0
183	72	0
184	96	0
185	118	0
186	138	0
187	150	0
188	155	0
189	149	0
190	136	0
191	116	0
192	92	0
193	69	0
194	49	0
195	33	0
196	26	0
197	29	0
198	39	0
199	57	0
200	80	0
201	104	0
202	126	0
203	143	0
204	152	0
205	154	0
206	146	0
207	130	0
208	109	0
209	85	0
210	62	0
211	43	0
212	30	0
213	27	0
214	31	0
215	44	0
216	64	0
217	88	0
218	111	0
219	133	0
220	147	0
221	155	0
222	152	0
223	142	0
224	123	0
225	100	0
226	77	0
227	54	0
228	37	0
229	28	0
230	27	0
231	34	0
232	51	0
233	72	0
234	96	0
235	118	0
236	138	0
237	150	0
238	155	0
239	150	0
240	136	0
241	116	0
242	93	0
243	69	0
244	48	0
245	33	0
246	26	0
247	29	0
248	39	0
249	57	0
250	80	0
251	104	0
252	126	0
253	144	0
254	153	0
255	154	0
256	146	0
257	130	0
258	109	0
259	85	0
260	61	0
261	42	0
262	30	0
263	26	0
264	31	0
265	45	0
266	64	0
267	88	0
268	110	0
269	132	0
270	147	0
271	155	0
272	152	0
273	142	0
274	124	0
275	101	0
276	77	0
277	54	0
278	37	0
279	28	0
280	27	0
281	35	0
282	51	0
283	72	0
284	96	0
285	119	0
286	138	0
287	150	0
288	155	0
289	150	0
290	136	0
291	116	0
292	92	0
293	69	0
294	49	0
295	33	0
296	26	0
297	29	0
298	38	0
299	57	0
300	81	0
301	103	0
302	126	0
303	142	0
304	153	0
305	154	0
306	146	0
307	130	0
308	109	0
309	85	0
310	62	0
311	43	0
312	30	0
313	26	0
314	31	0
315	45	0
316	64	0
317	87	0
318	111	0
319	133	0
320	148	0
321	155	0
322	152	0
323	142	0
324	123	0
325	101	0
326	77	0
327	54	0
328	37	0
329	27	0
330	27	0
331	35	0
332	51	0
333	73	0
334	96	0
335	118	0
336	138	0
337	150	0
338	155	0
339	150	0
340	137	0
341	117	0
342	92	0
343	69	0
344	48	0
345	33	0
346	26	0
347	29	0
348	39	0
349	57	0
350	80	0
351	104	0
352	126	0
353	144	0
354	153	0
355	154	0
356	146	0
357	130	0
358	109	0
359	85	0
360	62	0
361	42	0
362	30	0
363	26	0
364	31	0
365	45	0
366	65	0
367	87	0
368	112	0
369	133	0
