Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 31,25 mV
Zero level = 91

N 	Smpl.	Trig

0	91	0
1	114	0
2	134	0
3	149	0
4	155	0
5	152	0
6	140	0
7	120	0
8	98	0
9	74	0
10	53	0
11	36	0
12	28	0
13	27	0
14	37	0
15	53	0
16	74	0
17	98	0
18	122	0
19	139	0
20	151	0
21	154	0
22	149	0
23	134	0
24	113	0
25	91	0
26	67	0
27	46	0
28	33	0
29	26	0
30	29	0
31	40	0
32	60	0
33	83	0
34	106	0
35	129	0
36	145	0
37	154	0
38	154	0
39	145	0
40	128	0
41	106	0
42	82	0
43	60	0
44	41	0
45	30	0
46	26	0
47	33	0
48	46	0
49	67	0
50	91	0
51	114	0
52	134	0
53	149	0
54	155	0
55	152	0
56	140	0
57	121	0
58	99	0
59	75	0
60	53	0
61	36	0
62	27	0
63	27	0
64	36	0
65	53	0
66	74	0
67	98	0
68	121	0
69	140	0
70	152	0
71	154	0
72	149	0
73	134	0
74	113	0
75	90	0
76	66	0
77	46	0
78	32	0
79	26	0
80	29	0
81	40	0
82	59	0
83	83	0
84	107	0
85	128	0
86	145	0
87	154	0
88	154	0
89	145	0
90	128	0
91	106	0
92	82	0
93	60	0
94	40	0
95	29	0
96	26	0
97	32	0
98	46	0
99	67	0
100	91	0
101	114	0
102	134	0
103	149	0
104	155	0
105	153	0
106	140	0
107	121	0
108	97	0
109	74	0
110	53	0
111	36	0
112	27	0
113	27	0
114	35	0
115	54	0
116	75	0
117	98	0
118	121	0
119	140	0
120	152	0
121	154	0
122	149	0
123	134	0
124	113	0
125	90	0
126	67	0
127	46	0
128	32	0
129	26	0
130	29	0
131	41	0
132	60	0
133	83	0
134	106	0
135	128	0
136	145	0
137	154	0
138	154	0
139	145	0
140	128	0
141	105	0
142	83	0
143	60	0
144	41	0
145	29	0
146	26	0
147	32	0
148	46	0
149	67	0
150	91	0
151	114	0
152	134	0
153	149	0
154	155	0
155	151	0
156	140	0
157	121	0
158	99	0
159	75	0
160	53	0
161	36	0
162	27	0
163	27	0
164	37	0
165	53	0
166	75	0
167	98	0
168	121	0
169	139	0
170	153	0
171	154	0
172	149	0
173	134	0
174	113	0
175	90	0
176	67	0
177	46	0
178	32	0
179	26	0
180	29	0
181	40	0
182	60	0
183	83	0
184	107	0
185	128	0
186	145	0
187	154	0
188	154	0
189	145	0
190	128	0
191	106	0
192	83	0
193	59	0
194	41	0
195	29	0
196	26	0
197	33	0
198	46	0
199	67	0
200	91	0
201	114	0
202	134	0
203	149	0
204	155	0
205	152	0
206	139	0
207	121	0
208	98	0
209	73	0
210	52	0
211	36	0
212	27	0
213	27	0
214	36	0
215	53	0
216	74	0
217	97	0
218	122	0
219	140	0
220	152	0
221	154	0
222	149	0
223	134	0
224	113	0
225	90	0
226	67	0
227	46	0
228	33	0
229	26	0
230	29	0
231	41	0
232	60	0
233	83	0
234	106	0
235	128	0
236	144	0
237	154	0
238	153	0
239	145	0
240	128	0
241	106	0
242	82	0
243	60	0
244	41	0
245	29	0
246	26	0
247	33	0
248	46	0
249	67	0
250	91	0
251	114	0
252	134	0
253	149	0
254	155	0
255	152	0
256	140	0
257	120	0
258	98	0
259	74	0
260	53	0
261	36	0
262	28	0
263	27	0
264	36	0
265	53	0
266	75	0
267	98	0
268	121	0
269	140	0
270	152	0
271	155	0
272	148	0
273	134	0
274	114	0
275	90	0
276	67	0
277	46	0
278	32	0
279	26	0
280	30	0
281	41	0
282	60	0
283	83	0
284	106	0
285	129	0
286	145	0
287	154	0
288	154	0
289	144	0
290	128	0
291	106	0
292	82	0
293	60	0
294	41	0
295	30	0
296	26	0
297	32	0
298	46	0
299	67	0
300	90	0
301	114	0
302	134	0
303	149	0
304	154	0
305	152	0
306	140	0
307	121	0
308	97	0
309	75	0
310	53	0
311	37	0
312	27	0
313	27	0
314	37	0
315	53	0
316	74	0
317	98	0
318	121	0
319	140	0
320	152	0
321	155	0
322	149	0
323	134	0
324	113	0
325	90	0
326	66	0
327	46	0
328	32	0
329	26	0
330	30	0
331	41	0
332	60	0
333	83	0
334	106	0
335	128	0
336	145	0
337	154	0
338	153	0
339	144	0
340	128	0
341	106	0
342	82	0
343	60	0
344	41	0
345	29	0
346	26	0
347	33	0
348	46	0
349	67	0
350	90	0
351	114	0
352	134	0
353	149	0
354	154	0
355	152	0
356	141	0
357	121	0
358	98	0
359	75	0
360	53	0
361	36	0
362	28	0
363	27	0
364	36	0
365	53	0
366	75	0
367	98	0
368	121	0
369	140	0
370	152	0
371	154	0
372	149	0
373	134	0
374	113	0
375	91	0
376	67	0
377	46	0
378	32	0
379	26	0
380	29	0
381	41	0
382	61	0
383	83	0
384	106	0
385	128	0
386	145	0
387	154	0
388	153	0
389	144	0
390	128	0
391	106	0
392	82	0
393	60	0
394	40	0
395	29	0
396	26	0
397	33	0
398	46	0
399	67	0
400	91	0
401	114	0
402	134	0
403	149	0
404	155	0
405	151	0
406	140	0
407	121	0
408	97	0
409	74	0
410	53	0
411	36	0
412	27	0
413	27	0
414	36	0
415	53	0
416	75	0
417	98	0
418	121	0
419	140	0
420	151	0
421	155	0
422	149	0
423	134	0
424	114	0
425	90	0
426	66	0
427	46	0
428	32	0
429	26	0
430	29	0
431	41	0
432	60	0
433	83	0
434	106	0
435	129	0
436	145	0
437	154	0
438	154	0
439	145	0
440	128	0
441	105	0
442	82	0
443	60	0
444	40	0
445	30	0
