Oscilloscope data. 
Time step = 50,00 nS
Voltage step = 31,25 mV
Zero level = 91

N 	Smpl.	Trig

0	90	0
1	90	0
2	91	0
3	91	0
4	90	0
5	91	0
6	90	0
7	91	0
8	91	0
9	90	0
10	90	0
11	90	0
12	91	0
13	90	0
14	91	0
15	90	0
16	91	0
17	91	0
18	91	0
19	90	0
20	90	0
21	90	0
22	90	0
23	90	0
24	90	0
25	90	0
26	90	0
27	90	0
28	90	0
29	90	0
30	91	0
31	91	0
32	91	0
33	91	0
34	90	0
35	90	0
36	91	0
37	91	0
38	90	0
39	91	0
40	90	0
41	90	0
42	90	0
43	90	0
44	91	0
45	91	0
46	91	0
47	90	0
48	90	0
49	90	0
50	90	0
51	91	0
52	90	0
53	90	0
54	90	0
55	90	0
56	91	0
57	90	0
58	91	0
59	90	0
60	91	0
61	90	0
62	90	0
63	90	0
64	90	0
65	90	0
66	90	0
67	91	0
68	90	0
69	90	0
70	91	0
71	90	0
72	90	0
73	91	0
74	91	0
75	90	0
76	90	0
77	90	0
78	90	0
79	90	0
80	90	0
81	90	0
82	90	0
83	90	0
84	90	0
85	90	0
86	91	0
87	90	0
88	90	0
89	90	0
90	90	0
91	91	0
92	91	0
93	91	0
94	91	0
95	91	0
96	91	0
97	90	0
98	90	0
99	90	0
100	90	0
101	91	0
102	90	0
103	90	0
104	90	0
105	90	0
106	90	0
107	91	0
108	91	0
109	90	0
110	90	0
111	90	0
112	90	0
113	90	0
114	91	0
115	91	0
116	91	0
117	91	0
118	90	0
119	90	0
120	90	0
121	90	0
122	90	0
123	90	0
124	90	0
125	90	0
126	90	0
127	91	0
128	91	0
129	91	0
130	90	0
131	91	0
132	91	0
133	91	0
134	91	0
135	91	0
136	90	0
137	90	0
138	91	0
139	90	0
140	90	0
141	90	0
142	90	0
143	91	0
144	91	0
145	90	0
146	91	0
147	91	0
148	91	0
149	91	0
150	91	0
151	90	0
152	90	0
153	90	0
154	90	0
155	90	0
156	90	0
157	90	0
158	91	0
159	90	0
160	90	0
161	90	0
162	90	0
163	90	0
164	90	0
165	90	0
166	90	0
167	91	0
168	90	0
169	91	0
170	91	0
171	90	0
172	90	0
173	90	0
174	91	0
175	90	0
176	90	0
177	91	0
178	91	0
179	91	0
180	90	0
181	90	0
182	90	0
183	90	0
184	90	0
185	91	0
186	90	0
187	90	0
188	90	0
189	91	0
190	91	0
191	91	0
192	91	0
193	90	0
194	90	0
195	91	0
196	91	0
197	90	0
198	91	0
199	90	0
200	91	0
201	91	0
202	91	0
203	91	0
204	90	0
205	90	0
206	90	0
207	90	0
208	90	0
209	91	0
210	90	0
211	90	0
212	90	0
213	91	0
214	90	0
215	90	0
216	90	0
217	91	0
218	91	0
