Oscilloscope data. 
Time step = 10,00 uS
Voltage step = 31,25 mV
Zero level = 91

N 	Smpl.	Trig

0	62	0
1	62	0
2	62	0
3	63	0
4	62	0
5	62	0
6	62	0
7	62	0
8	62	0
9	63	0
10	62	0
11	62	0
12	63	0
13	62	0
14	62	0
15	62	0
16	62	0
17	62	0
18	62	0
19	62	0
20	62	0
21	62	0
22	62	0
23	62	0
24	62	0
25	62	0
26	63	0
27	62	0
28	62	0
29	62	0
30	63	0
31	62	0
32	62	0
33	62	0
34	62	0
35	62	0
36	62	0
37	62	0
38	62	0
39	62	0
40	63	0
41	63	0
42	62	0
43	62	0
44	62	0
45	62	0
46	62	0
47	63	0
48	62	0
49	63	0
50	62	0
51	62	0
52	62	0
53	62	0
54	62	0
55	62	0
56	62	0
57	62	0
58	62	0
59	62	0
60	62	0
61	62	0
62	62	0
63	62	0
64	62	0
65	63	0
66	62	0
67	62	0
68	62	0
69	63	0
70	62	0
71	62	0
72	62	0
73	62	0
74	62	0
75	62	0
76	62	0
77	62	0
78	62	0
79	62	0
80	62	0
81	62	0
82	62	0
83	62	0
84	62	0
85	63	0
86	62	0
87	62	0
88	63	0
89	62	0
90	62	0
91	62	0
92	62	0
93	62	0
94	62	0
95	62	0
96	63	0
97	63	0
98	62	0
99	62	0
100	62	0
101	63	0
102	63	0
103	62	0
104	62	0
105	62	0
106	61	0
107	60	0
108	59	0
109	58	0
110	57	0
111	55	0
112	54	0
113	53	0
114	51	0
115	49	0
116	46	0
117	45	0
118	43	0
119	41	0
120	38	0
121	37	0
122	35	0
123	34	0
124	32	0
125	30	0
126	29	0
127	28	0
128	27	0
129	26	0
130	26	0
131	27	0
132	27	0
133	29	0
134	30	0
135	32	0
136	36	0
137	38	0
138	43	0
139	48	0
140	53	0
141	59	0
142	65	0
143	72	0
144	79	0
145	86	0
146	94	0
147	102	0
148	110	0
149	118	0
150	126	0
151	133	0
152	140	0
153	145	0
154	150	0
155	153	0
156	155	0
157	155	0
158	154	0
159	151	0
160	147	0
161	141	0
162	133	0
163	124	0
164	114	0
165	104	0
166	91	0
167	80	0
168	70	0
169	58	0
170	49	0
171	41	0
172	33	0
173	29	0
174	26	0
175	26	0
176	30	0
177	35	0
178	44	0
179	54	0
180	67	0
181	81	0
182	94	0
183	110	0
184	122	0
185	134	0
186	145	0
187	152	0
188	155	0
189	155	0
190	150	0
191	143	0
192	131	0
193	117	0
194	102	0
195	86	0
196	69	0
197	54	0
198	41	0
199	31	0
200	27	0
201	27	0
202	32	0
203	40	0
204	54	0
205	71	0
206	90	0
207	108	0
208	126	0
209	139	0
210	150	0
211	155	0
212	154	0
213	146	0
214	134	0
215	117	0
216	97	0
217	77	0
218	57	0
219	41	0
220	30	0
221	26	0
222	29	0
223	38	0
224	54	0
225	74	0
226	97	0
227	118	0
228	137	0
229	149	0
230	155	0
231	153	0
232	142	0
233	125	0
234	101	0
235	78	0
236	56	0
237	38	0
238	28	0
239	26	0
240	35	0
241	51	0
242	73	0
243	98	0
244	122	0
245	142	0
246	153	0
247	154	0
248	145	0
249	126	0
250	102	0
251	75	0
252	51	0
253	34	0
254	26	0
255	30	0
256	45	0
257	69	0
258	96	0
259	122	0
260	143	0
261	155	0
262	152	0
263	138	0
264	115	0
265	86	0
266	58	0
267	37	0
268	27	0
269	30	0
270	46	0
271	72	0
272	103	0
273	130	0
274	149	0
275	155	0
276	146	0
277	123	0
278	93	0
279	62	0
280	38	0
281	26	0
282	30	0
283	49	0
284	79	0
285	110	0
286	139	0
287	154	0
288	152	0
289	134	0
290	105	0
291	70	0
292	42	0
293	27	0
294	30	0
295	50	0
296	81	0
297	115	0
298	143	0
299	155	0
300	148	0
301	124	0
302	90	0
303	55	0
304	32	0
305	26	0
306	42	0
307	73	0
308	109	0
309	140	0
310	154	0
311	148	0
312	122	0
313	86	0
314	51	0
315	30	0
316	29	0
317	50	0
318	85	0
319	122	0
320	149	0
321	154	0
322	137	0
323	101	0
324	63	0
325	34	0
326	26	0
327	44	0
328	78	0
329	118	0
330	147	0
331	154	0
332	136	0
333	99	0
334	59	0
335	31	0
336	28	0
337	51	0
338	91	0
339	130	0
340	153	0
341	150	0
342	120	0
343	78	0
344	41	0
345	26	0
346	40	0
347	76	0
348	118	0
349	150	0
350	152	0
351	128	0
352	84	0
353	45	0
354	27	0
355	38	0
356	76	0
357	120	0
358	150	0
359	152	0
360	122	0
361	77	0
362	38	0
363	27	0
364	46	0
365	90	0
366	134	0
367	155	0
368	142	0
369	102	0
370	57	0
371	28	0
372	34	0
373	70	0
374	118	0
375	150	0
376	150	0
377	116	0
378	67	0
379	32	0
380	30	0
381	62	0
382	111	0
383	149	0
384	151	0
385	118	0
386	69	0
387	32	0
388	30	0
389	66	0
390	116	0
391	151	0
392	148	0
393	110	0
394	59	0
395	28	0
396	37	0
397	81	0
398	130	0
399	155	0
400	137	0
401	89	0
402	42	0
403	26	0
404	54	0
405	105	0
406	148	0
407	151	0
408	112	0
409	59	0
410	28	0
411	40	0
412	89	0
413	138	0
414	154	0
415	125	0
416	71	0
417	31	0
418	35	0
419	78	0
420	133	0
421	155	0
422	129	0
423	76	0
424	32	0
425	33	0
426	78	0
427	132	0
428	155	0
429	127	0
430	71	0
431	30	0
432	37	0
433	86	0
434	139	0
435	153	0
436	117	0
437	58	0
438	27	0
439	46	0
440	103	0
441	149	0
442	146	0
443	97	0
444	42	0
445	28	0
446	68	0
447	126	0
448	155	0
449	126	0
450	67	0
451	28	0
452	44	0
453	101	0
454	150	0
455	145	0
456	92	0
457	38	0
458	30	0
459	78	0
460	137	0
461	153	0
462	110	0
463	50	0
464	27	0
465	64	0
466	126	0
467	155	0
468	122	0
469	59	0
470	26	0
471	55	0
472	118	0
473	155	0
474	128	0
475	64	0
476	26	0
477	54	0
478	117	0
479	155	0
480	126	0
481	62	0
482	26	0
483	57	0
484	122	0
485	155	0
486	120	0
487	55	0
488	26	0
489	66	0
490	132	0
491	154	0
492	108	0
