Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 31,25 mV
Zero level = 91

N 	Smpl.	Trig

0	74	0
1	97	0
2	121	0
3	139	0
4	151	0
5	155	0
6	150	0
7	135	0
8	115	0
9	92	0
10	68	0
11	48	0
12	33	0
13	27	0
14	29	0
15	41	0
16	59	0
17	83	0
18	105	0
19	128	0
20	144	0
21	154	0
22	154	0
23	145	0
24	129	0
25	108	0
26	84	0
27	61	0
28	43	0
29	30	0
30	27	0
31	33	0
32	46	0
33	67	0
34	90	0
35	113	0
36	133	0
37	148	0
38	155	0
39	152	0
40	141	0
41	123	0
42	100	0
43	76	0
44	54	0
45	39	0
46	28	0
47	27	0
48	36	0
49	53	0
50	73	0
51	97	0
52	120	0
53	139	0
54	152	0
55	155	0
56	150	0
57	135	0
58	115	0
59	92	0
60	68	0
61	48	0
62	33	0
63	27	0
64	30	0
65	41	0
66	60	0
67	83	0
68	105	0
69	127	0
70	143	0
71	154	0
72	155	0
73	145	0
74	129	0
75	107	0
76	84	0
77	61	0
78	43	0
79	30	0
80	27	0
81	33	0
82	47	0
83	67	0
84	91	0
85	113	0
86	133	0
87	149	0
88	155	0
89	152	0
90	141	0
91	123	0
92	99	0
93	75	0
94	55	0
95	37	0
96	28	0
97	27	0
98	36	0
99	52	0
100	74	0
101	97	0
102	121	0
103	140	0
104	151	0
105	155	0
106	149	0
107	135	0
108	116	0
109	92	0
110	68	0
111	48	0
112	33	0
113	27	0
114	30	0
115	41	0
116	59	0
117	82	0
118	105	0
119	127	0
120	144	0
121	154	0
122	154	0
123	145	0
124	129	0
125	107	0
126	84	0
127	61	0
128	43	0
129	30	0
130	27	0
131	32	0
132	47	0
133	66	0
134	91	0
135	113	0
136	134	0
137	149	0
138	155	0
139	153	0
140	141	0
141	123	0
142	99	0
143	76	0
144	55	0
145	38	0
146	28	0
147	28	0
148	36	0
149	52	0
150	73	0
151	97	0
152	121	0
153	139	0
154	152	0
155	155	0
156	149	0
157	135	0
158	115	0
159	92	0
160	68	0
161	48	0
162	33	0
163	27	0
164	29	0
165	41	0
166	59	0
167	83	0
168	105	0
169	127	0
170	144	0
171	154	0
172	155	0
173	146	0
174	129	0
175	107	0
176	84	0
177	61	0
178	42	0
179	31	0
180	27	0
181	32	0
182	47	0
183	67	0
184	91	0
185	113	0
186	134	0
187	148	0
188	155	0
189	152	0
190	141	0
191	123	0
192	100	0
193	76	0
194	54	0
195	38	0
196	28	0
197	27	0
198	36	0
199	52	0
200	73	0
201	97	0
202	121	0
203	139	0
204	152	0
205	155	0
206	150	0
207	135	0
208	116	0
209	92	0
210	68	0
211	48	0
212	33	0
213	27	0
214	29	0
215	41	0
216	59	0
217	82	0
218	105	0
219	128	0
220	144	0
221	154	0
222	154	0
223	145	0
224	129	0
225	108	0
226	84	0
227	61	0
228	43	0
229	30	0
230	27	0
231	33	0
232	47	0
233	67	0
234	91	0
235	113	0
236	134	0
237	149	0
238	155	0
239	152	0
240	141	0
241	123	0
242	100	0
243	76	0
244	55	0
245	38	0
246	28	0
247	27	0
248	37	0
249	52	0
250	74	0
251	97	0
252	121	0
253	139	0
254	152	0
255	155	0
256	149	0
257	135	0
258	115	0
259	92	0
260	68	0
261	48	0
262	33	0
263	27	0
264	29	0
265	41	0
266	59	0
267	82	0
268	106	0
269	127	0
270	144	0
271	154	0
272	154	0
273	146	0
274	129	0
275	108	0
276	84	0
277	61	0
278	43	0
279	31	0
280	27	0
281	32	0
282	47	0
283	67	0
284	91	0
285	113	0
286	133	0
287	148	0
288	155	0
289	152	0
290	141	0
291	123	0
292	99	0
293	75	0
294	53	0
295	37	0
296	28	0
297	28	0
298	36	0
299	52	0
300	75	0
301	97	0
302	121	0
303	140	0
304	151	0
305	155	0
306	149	0
307	135	0
308	115	0
309	92	0
310	68	0
311	48	0
312	33	0
313	27	0
314	30	0
315	41	0
316	59	0
317	83	0
318	105	0
319	128	0
320	144	0
321	154	0
322	155	0
323	146	0
324	129	0
325	108	0
326	84	0
327	61	0
328	43	0
329	31	0
330	27	0
331	32	0
332	47	0
333	67	0
334	91	0
335	113	0
336	134	0
337	148	0
338	155	0
339	152	0
340	141	0
341	123	0
342	100	0
343	76	0
344	54	0
345	37	0
346	28	0
347	27	0
348	36	0
349	52	0
350	74	0
351	98	0
352	121	0
353	139	0
354	152	0
355	156	0
356	150	0
357	135	0
358	116	0
359	92	0
360	69	0
361	48	0
362	33	0
363	27	0
364	30	0
365	41	0
366	59	0
367	82	0
368	106	0
369	128	0
370	144	0
371	155	0
372	155	0
373	145	0
374	129	0
375	108	0
376	84	0
377	61	0
378	43	0
379	31	0
380	27	0
381	32	0
382	46	0
383	66	0
384	91	0
385	113	0
386	134	0
387	149	0
388	155	0
389	152	0
390	141	0
391	123	0
392	100	0
393	76	0
394	55	0
395	37	0
396	28	0
397	28	0
398	36	0
399	53	0
400	74	0
401	97	0
402	121	0
403	140	0
404	152	0
405	155	0
406	149	0
407	135	0
408	115	0
409	92	0
410	68	0
411	48	0
412	33	0
413	27	0
414	30	0
415	41	0
416	59	0
417	82	0
418	106	0
419	127	0
420	144	0
421	153	0
422	155	0
423	145	0
424	129	0
425	108	0
426	84	0
427	61	0
428	43	0
429	30	0
430	27	0
431	32	0
432	47	0
433	67	0
434	91	0
435	113	0
436	134	0
437	149	0
438	155	0
439	152	0
440	141	0
441	123	0
442	100	0
443	76	0
444	54	0
445	37	0
446	28	0
447	28	0
448	36	0
449	52	0
450	75	0
451	97	0
452	121	0
453	139	0
454	152	0
455	155	0
456	149	0
457	135	0
458	115	0
459	92	0
460	68	0
461	48	0
462	33	0
463	27	0
464	29	0
465	41	0
466	60	0
467	81	0
468	106	0
469	127	0
470	144	0
471	154	0
472	155	0
473	145	0
474	129	0
475	108	0
476	85	0
477	61	0
478	43	0
479	31	0
480	27	0
481	32	0
482	47	0
483	67	0
484	91	0
485	113	0
486	133	0
487	148	0
488	155	0
489	152	0
490	141	0
491	123	0
492	99	0
493	76	0
494	53	0
495	37	0
496	28	0
497	27	0
498	36	0
499	52	0
500	74	0
501	97	0
502	121	0
503	139	0
504	152	0
505	155	0
506	149	0
507	135	0
508	116	0
509	92	0
510	68	0
511	48	0
512	33	0
513	27	0
514	29	0
515	41	0
516	59	0
517	82	0
518	105	0
519	127	0
520	144	0
521	154	0
522	154	0
523	145	0
524	129	0
525	108	0
526	85	0
527	61	0
528	43	0
529	31	0
530	27	0
531	32	0
532	47	0
533	66	0
534	89	0
535	113	0
536	133	0
537	148	0
538	155	0
539	152	0
540	140	0
541	123	0
542	100	0
543	76	0
544	54	0
545	38	0
546	28	0
547	28	0
548	36	0
549	52	0
550	74	0
551	97	0
552	121	0
553	140	0
554	152	0
555	155	0
556	149	0
557	135	0
558	115	0
559	92	0
560	69	0
561	48	0
562	33	0
563	27	0
564	29	0
565	41	0
566	59	0
567	82	0
568	105	0
569	127	0
570	144	0
571	154	0
572	155	0
573	146	0
574	129	0
575	108	0
576	84	0
577	61	0
578	43	0
579	31	0
580	27	0
581	33	0
582	47	0
583	66	0
584	91	0
585	113	0
586	134	0
587	149	0
588	155	0
589	152	0
590	141	0
591	123	0
592	100	0
593	76	0
594	55	0
595	38	0
596	28	0
597	27	0
598	37	0
599	53	0
600	74	0
601	97	0
602	120	0
603	139	0
604	152	0
605	155	0
606	149	0
607	135	0
608	115	0
609	92	0
610	69	0
611	48	0
612	33	0
613	27	0
614	30	0
615	41	0
616	60	0
617	82	0
618	105	0
619	128	0
620	144	0
621	155	0
622	155	0
623	145	0
624	129	0
625	108	0
626	84	0
627	61	0
628	43	0
629	30	0
630	27	0
631	32	0
632	46	0
633	67	0
634	91	0
635	113	0
636	134	0
637	148	0
638	155	0
639	152	0
640	141	0
641	123	0
642	99	0
643	76	0
644	54	0
645	37	0
646	28	0
647	27	0
648	37	0
649	52	0
650	74	0
651	97	0
652	121	0
653	139	0
654	152	0
655	155	0
656	149	0
657	135	0
658	115	0
659	92	0
660	68	0
661	48	0
662	33	0
663	27	0
664	30	0
665	41	0
666	60	0
667	81	0
668	106	0
669	127	0
670	144	0
671	155	0
672	155	0
673	145	0
674	129	0
675	108	0
676	84	0
677	61	0
678	43	0
679	30	0
680	27	0
681	32	0
682	47	0
683	67	0
684	89	0
685	113	0
686	133	0
687	148	0
688	155	0
689	152	0
690	141	0
691	122	0
692	99	0
693	76	0
694	54	0
695	38	0
696	28	0
697	28	0
698	37	0
699	52	0
700	74	0
701	97	0
702	121	0
703	139	0
704	152	0
705	155	0
706	149	0
707	135	0
708	115	0
709	92	0
710	68	0
711	48	0
712	33	0
713	27	0
714	29	0
715	41	0
716	60	0
717	82	0
718	105	0
719	127	0
720	144	0
721	154	0
722	154	0
723	145	0
724	129	0
725	108	0
726	84	0
727	61	0
728	43	0
729	31	0
730	27	0
731	32	0
732	47	0
733	67	0
734	91	0
735	113	0
736	133	0
737	149	0
738	155	0
739	152	0
740	141	0
741	123	0
742	99	0
743	76	0
744	55	0
745	38	0
746	28	0
747	28	0
748	36	0
749	53	0
750	75	0
751	97	0
752	121	0
753	139	0
754	152	0
755	155	0
756	149	0
757	135	0
758	115	0
759	92	0
760	69	0
761	48	0
762	33	0
763	27	0
764	29	0
765	41	0
766	59	0
767	83	0
768	106	0
769	128	0
770	144	0
771	154	0
772	155	0
773	145	0
774	129	0
775	108	0
776	84	0
777	61	0
778	42	0
779	31	0
780	27	0
781	32	0
782	47	0
783	67	0
784	91	0
785	113	0
786	134	0
787	149	0
788	155	0
789	152	0
790	140	0
791	123	0
792	99	0
793	75	0
794	55	0
795	38	0
796	27	0
797	27	0
798	36	0
799	52	0
800	73	0
801	97	0
802	121	0
803	139	0
804	151	0
805	155	0
806	149	0
807	135	0
808	115	0
809	92	0
810	69	0
811	48	0
812	33	0
813	27	0
814	29	0
815	41	0
816	60	0
817	82	0
818	106	0
819	127	0
820	145	0
821	153	0
822	155	0
823	145	0
824	129	0
825	108	0
826	85	0
827	61	0
828	43	0
829	30	0
830	27	0
831	32	0
832	47	0
833	67	0
834	90	0
835	114	0
836	134	0
837	149	0
838	155	0
839	152	0
840	141	0
841	123	0
842	99	0
843	76	0
844	55	0
845	37	0
846	28	0
847	28	0
848	37	0
849	52	0
850	75	0
851	97	0
852	121	0
853	140	0
854	152	0
855	155	0
856	149	0
857	135	0
858	115	0
859	92	0
860	69	0
861	48	0
862	33	0
863	27	0
864	29	0
865	41	0
866	59	0
867	82	0
868	106	0
869	127	0
870	144	0
871	153	0
872	154	0
873	145	0
874	129	0
875	108	0
876	84	0
877	61	0
878	43	0
879	31	0
880	27	0
881	32	0
882	47	0
883	66	0
884	91	0
885	113	0
886	134	0
887	148	0
888	155	0
889	152	0
890	141	0
891	123	0
892	99	0
893	76	0
894	55	0
895	37	0
896	28	0
897	27	0
898	37	0
899	52	0
900	74	0
901	97	0
902	121	0
903	140	0
904	152	0
905	155	0
906	150	0
907	135	0
908	115	0
909	92	0
910	68	0
911	48	0
912	33	0
913	27	0
914	29	0
915	41	0
916	59	0
917	82	0
918	106	0
919	127	0
920	144	0
921	153	0
922	154	0
923	145	0
924	129	0
925	108	0
926	84	0
927	61	0
928	43	0
929	30	0
930	27	0
931	32	0
932	47	0
933	67	0
934	91	0
935	113	0
936	133	0
937	148	0
938	155	0
939	153	0
940	141	0
941	123	0
942	99	0
943	76	0
944	55	0
945	38	0
946	28	0
947	28	0
948	36	0
949	53	0
950	74	0
951	97	0
952	121	0
953	139	0
954	151	0
955	155	0
956	149	0
957	135	0
958	115	0
959	92	0
960	68	0
961	48	0
962	33	0
963	27	0
964	29	0
965	41	0
966	60	0
967	81	0
968	105	0
969	128	0
970	144	0
971	154	0
972	154	0
973	145	0
974	129	0
975	108	0
976	84	0
977	61	0
978	43	0
979	31	0
980	27	0
981	33	0
982	47	0
983	67	0
984	90	0
985	113	0
986	133	0
987	149	0
988	155	0
989	152	0
990	141	0
991	122	0
992	99	0
993	76	0
994	55	0
995	38	0
996	28	0
997	28	0
998	36	0
999	52	0
