Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 31,25 mV
Zero level = 91

N 	Smpl.	Trig

0	83	0
1	28	0
2	99	0
3	155	0
4	83	0
5	27	0
6	99	0
7	155	0
8	83	0
9	28	0
10	99	0
11	155	0
12	83	0
13	27	0
14	99	0
15	155	0
16	83	0
17	28	0
18	99	0
19	155	0
20	83	0
21	27	0
22	99	0
23	155	0
24	83	0
25	27	0
26	99	0
27	155	0
28	84	0
29	28	0
30	99	0
31	155	0
32	83	0
33	28	0
34	99	0
35	155	0
36	83	0
37	28	0
38	99	0
39	155	0
40	83	0
41	28	0
42	99	0
43	155	0
44	83	0
45	28	0
46	99	0
47	155	0
48	83	0
49	28	0
50	99	0
51	155	0
52	83	0
53	28	0
54	99	0
55	155	0
56	83	0
57	27	0
58	99	0
59	155	0
60	83	0
61	28	0
62	99	0
63	155	0
64	83	0
65	28	0
66	99	0
67	155	0
68	83	0
69	28	0
70	99	0
71	155	0
72	83	0
73	28	0
74	99	0
75	155	0
76	83	0
77	28	0
78	99	0
79	155	0
80	83	0
81	28	0
82	99	0
83	155	0
84	83	0
85	28	0
86	99	0
87	155	0
88	83	0
89	28	0
90	99	0
91	155	0
92	83	0
93	28	0
94	99	0
95	155	0
96	83	0
97	27	0
98	99	0
99	155	0
100	83	0
101	27	0
102	99	0
103	155	0
104	83	0
105	28	0
106	99	0
107	155	0
108	83	0
109	27	0
110	99	0
111	155	0
112	83	0
113	27	0
114	99	0
115	155	0
116	83	0
117	28	0
118	99	0
119	155	0
120	83	0
121	28	0
122	99	0
123	155	0
124	83	0
125	27	0
126	99	0
127	155	0
128	83	0
129	28	0
130	99	0
131	155	0
132	83	0
133	28	0
134	99	0
135	155	0
136	83	0
137	27	0
138	99	0
139	155	0
140	83	0
141	28	0
142	99	0
143	155	0
144	83	0
145	28	0
146	99	0
147	155	0
148	84	0
149	28	0
150	99	0
151	155	0
152	83	0
153	28	0
154	99	0
155	155	0
156	83	0
157	28	0
158	99	0
159	155	0
160	83	0
161	28	0
162	99	0
163	155	0
164	83	0
165	28	0
166	99	0
167	155	0
168	83	0
169	28	0
170	99	0
171	155	0
172	83	0
173	27	0
174	99	0
175	155	0
176	83	0
177	28	0
