Oscilloscope data. 
Time step = 50,00 nS
Voltage step = 31,25 mV
Zero level = 91

N 	Smpl.	Trig

0	65	0
1	65	0
2	65	0
3	65	0
4	65	0
5	65	0
6	65	0
7	65	0
8	65	0
9	65	0
10	65	0
11	65	0
12	65	0
13	65	0
14	65	0
15	65	0
16	65	0
17	65	0
18	65	0
19	65	0
20	65	0
21	65	0
22	65	0
23	65	0
24	65	0
25	65	0
26	65	0
27	65	0
28	65	0
29	65	0
30	65	0
31	65	0
32	65	0
33	65	0
34	65	0
35	65	0
36	65	0
37	65	0
38	65	0
39	65	0
40	65	0
41	65	0
42	65	0
43	65	0
44	65	0
45	65	0
46	65	0
47	65	0
48	65	0
49	65	0
50	65	0
51	65	0
52	65	0
53	65	0
54	65	0
55	65	0
56	65	0
57	65	0
58	65	0
59	65	0
60	66	0
61	65	0
62	65	0
63	65	0
64	65	0
65	65	0
66	65	0
67	65	0
68	65	0
69	65	0
70	65	0
71	65	0
72	65	0
73	65	0
74	65	0
75	65	0
76	65	0
77	65	0
78	65	0
79	65	0
80	65	0
81	65	0
82	65	0
83	65	0
84	65	0
85	65	0
86	65	0
87	65	0
88	65	0
89	65	0
90	65	0
91	65	0
92	65	0
93	65	0
94	65	0
95	65	0
96	65	0
97	65	0
98	65	0
99	65	0
100	65	0
101	196	0
102	194	0
103	193	0
104	193	0
105	194	0
106	194	0
107	193	0
108	193	0
109	193	0
110	193	0
111	193	0
112	194	0
113	194	0
114	193	0
115	193	0
116	193	0
117	193	0
118	193	0
119	194	0
120	194	0
121	193	0
122	193	0
123	193	0
124	193	0
125	193	0
126	193	0
127	193	0
128	193	0
129	193	0
130	193	0
131	194	0
132	193	0
133	193	0
134	193	0
135	193	0
136	193	0
137	193	0
138	193	0
139	193	0
140	193	0
141	63	0
142	64	0
143	65	0
144	65	0
145	65	0
146	65	0
147	65	0
148	65	0
149	65	0
150	65	0
151	65	0
152	65	0
153	65	0
154	65	0
155	65	0
156	65	0
157	65	0
158	65	0
159	65	0
160	65	0
161	64	0
162	65	0
163	65	0
164	65	0
165	65	0
166	65	0
167	65	0
168	65	0
169	64	0
170	65	0
171	65	0
172	65	0
173	65	0
174	65	0
175	65	0
176	65	0
