Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 31,25 mV
Zero level = 91

N 	Smpl.	Trig

0	92	0
1	91	0
2	89	0
3	87	0
4	85	0
5	83	0
6	81	0
7	79	0
8	77	0
9	75	0
10	73	0
11	71	0
12	69	0
13	67	0
14	66	0
15	64	0
16	62	0
17	60	0
18	59	0
19	57	0
20	56	0
21	54	0
22	52	0
23	51	0
24	49	0
25	47	0
26	47	0
27	45	0
28	43	0
29	43	0
30	41	0
31	40	0
32	39	0
33	37	0
34	36	0
35	35	0
36	34	0
37	34	0
38	32	0
39	32	0
40	31	0
41	31	0
42	30	0
43	29	0
44	29	0
45	28	0
46	27	0
47	28	0
48	27	0
49	27	0
50	27	0
51	27	0
52	27	0
53	27	0
54	27	0
55	28	0
56	28	0
57	28	0
58	29	0
59	29	0
60	30	0
61	31	0
62	31	0
63	33	0
64	32	0
65	33	0
66	34	0
67	35	0
68	36	0
69	39	0
70	39	0
71	39	0
72	41	0
73	41	0
74	43	0
75	45	0
76	47	0
77	47	0
78	49	0
79	51	0
80	52	0
81	54	0
82	56	0
83	57	0
84	59	0
85	61	0
86	63	0
87	63	0
88	66	0
89	68	0
90	69	0
91	71	0
92	73	0
93	75	0
94	77	0
95	79	0
96	81	0
97	83	0
98	85	0
99	87	0
100	89	0
101	91	0
102	93	0
103	95	0
104	97	0
105	99	0
106	101	0
107	103	0
108	105	0
109	107	0
110	109	0
111	111	0
112	113	0
113	115	0
114	118	0
115	120	0
116	122	0
117	124	0
118	126	0
119	128	0
120	129	0
121	131	0
122	133	0
123	135	0
124	136	0
125	139	0
126	140	0
127	143	0
128	144	0
129	144	0
130	146	0
131	148	0
132	148	0
133	150	0
134	151	0
135	152	0
136	152	0
137	153	0
138	154	0
139	155	0
140	155	0
141	155	0
142	155	0
143	155	0
144	155	0
145	155	0
146	155	0
147	153	0
148	153	0
149	152	0
150	152	0
151	151	0
152	149	0
153	148	0
154	147	0
155	144	0
156	143	0
157	142	0
158	139	0
159	137	0
160	135	0
161	132	0
162	129	0
163	127	0
164	124	0
165	121	0
166	119	0
167	116	0
168	112	0
169	109	0
170	106	0
171	103	0
172	99	0
173	96	0
174	92	0
175	89	0
176	85	0
177	83	0
178	80	0
179	75	0
180	72	0
181	68	0
182	65	0
183	62	0
184	59	0
185	56	0
186	53	0
187	51	0
188	47	0
189	45	0
190	43	0
191	40	0
192	37	0
193	36	0
194	33	0
195	32	0
196	31	0
197	29	0
198	28	0
199	28	0
200	27	0
201	27	0
202	27	0
203	27	0
204	28	0
205	29	0
206	31	0
207	31	0
208	33	0
209	35	0
210	37	0
211	39	0
212	42	0
213	44	0
214	47	0
215	51	0
216	54	0
217	59	0
218	61	0
219	65	0
220	69	0
221	73	0
222	79	0
223	83	0
224	87	0
225	91	0
226	95	0
227	100	0
228	105	0
229	109	0
230	113	0
231	117	0
232	121	0
233	126	0
234	129	0
235	133	0
236	136	0
237	139	0
238	143	0
239	146	0
240	148	0
241	150	0
242	152	0
243	153	0
244	154	0
245	155	0
246	155	0
247	155	0
248	155	0
249	154	0
250	153	0
251	151	0
252	149	0
253	147	0
254	144	0
255	141	0
256	137	0
257	134	0
258	130	0
259	126	0
260	121	0
261	117	0
262	111	0
263	107	0
264	101	0
265	96	0
266	91	0
267	86	0
268	81	0
269	75	0
270	70	0
271	65	0
272	60	0
273	55	0
274	51	0
275	47	0
276	43	0
277	39	0
278	37	0
279	34	0
280	32	0
281	30	0
282	28	0
283	28	0
284	27	0
285	27	0
286	28	0
287	29	0
288	31	0
289	33	0
290	36	0
291	39	0
292	43	0
293	47	0
294	51	0
295	55	0
296	60	0
297	65	0
298	71	0
299	76	0
300	83	0
301	89	0
302	94	0
303	100	0
304	107	0
305	112	0
306	118	0
307	123	0
308	128	0
309	133	0
310	137	0
311	142	0
312	145	0
313	149	0
314	151	0
315	153	0
316	155	0
317	155	0
318	155	0
319	155	0
320	153	0
321	151	0
322	149	0
323	147	0
324	143	0
325	139	0
326	134	0
327	128	0
328	123	0
329	117	0
330	111	0
331	105	0
332	98	0
333	92	0
334	85	0
335	79	0
336	72	0
337	65	0
338	60	0
339	55	0
340	49	0
341	43	0
342	40	0
343	36	0
344	32	0
345	30	0
346	29	0
347	27	0
348	27	0
349	28	0
350	29	0
351	31	0
352	34	0
353	38	0
354	41	0
355	47	0
356	51	0
357	57	0
358	63	0
359	70	0
360	77	0
361	83	0
362	91	0
363	98	0
364	105	0
365	112	0
366	119	0
367	125	0
368	131	0
369	136	0
370	141	0
371	146	0
372	149	0
373	152	0
374	155	0
375	155	0
376	155	0
377	154	0
378	153	0
379	150	0
380	147	0
381	143	0
382	137	0
383	132	0
384	125	0
385	120	0
386	112	0
387	104	0
388	96	0
389	89	0
390	82	0
391	74	0
392	67	0
393	59	0
394	53	0
395	47	0
396	41	0
397	38	0
398	33	0
399	30	0
400	28	0
401	27	0
402	27	0
403	28	0
404	31	0
405	33	0
406	37	0
407	42	0
408	48	0
409	55	0
410	61	0
411	69	0
412	76	0
413	85	0
414	92	0
415	101	0
416	109	0
417	117	0
418	124	0
419	131	0
420	137	0
421	143	0
422	147	0
423	151	0
424	153	0
425	155	0
426	155	0
427	155	0
428	152	0
429	149	0
430	145	0
431	140	0
432	134	0
433	127	0
434	119	0
435	111	0
436	103	0
437	95	0
438	86	0
439	77	0
440	69	0
441	61	0
442	53	0
443	47	0
444	41	0
445	35	0
446	32	0
447	29	0
448	27	0
449	27	0
450	28	0
451	31	0
452	33	0
453	39	0
454	44	0
455	51	0
456	59	0
457	67	0
458	75	0
459	84	0
460	93	0
461	102	0
462	111	0
463	120	0
464	127	0
465	135	0
466	142	0
467	147	0
468	151	0
469	154	0
470	155	0
471	155	0
472	153	0
473	151	0
474	147	0
475	141	0
476	135	0
477	128	0
478	120	0
479	111	0
480	102	0
481	92	0
482	83	0
483	73	0
484	64	0
485	56	0
486	48	0
487	41	0
488	36	0
489	31	0
490	28	0
491	27	0
492	27	0
493	29	0
494	33	0
495	37	0
496	43	0
497	49	0
498	58	0
499	67	0
500	76	0
501	86	0
502	96	0
503	105	0
504	115	0
505	124	0
506	132	0
507	140	0
508	145	0
509	151	0
510	153	0
511	155	0
512	155	0
513	153	0
514	150	0
515	145	0
516	139	0
517	131	0
518	123	0
519	113	0
520	103	0
521	92	0
522	83	0
523	72	0
524	63	0
525	53	0
526	45	0
527	39	0
528	33	0
529	29	0
530	27	0
531	27	0
532	28	0
533	31	0
534	36	0
535	43	0
536	51	0
537	59	0
538	69	0
539	80	0
540	91	0
541	101	0
542	111	0
543	122	0
544	131	0
545	139	0
546	145	0
547	151	0
548	154	0
549	155	0
550	155	0
551	152	0
552	148	0
553	143	0
554	135	0
555	126	0
556	116	0
557	105	0
558	95	0
559	84	0
560	73	0
561	62	0
562	53	0
563	44	0
564	38	0
565	32	0
566	29	0
567	27	0
568	27	0
569	31	0
570	35	0
571	41	0
572	49	0
573	59	0
574	69	0
575	79	0
576	91	0
577	103	0
578	113	0
579	124	0
580	134	0
581	142	0
582	148	0
583	152	0
584	155	0
585	155	0
586	153	0
587	149	0
588	143	0
589	135	0
590	126	0
591	116	0
592	104	0
593	93	0
594	81	0
595	69	0
596	59	0
597	49	0
598	41	0
599	35	0
600	30	0
601	27	0
602	27	0
603	29	0
604	34	0
605	41	0
606	49	0
607	59	0
608	69	0
609	81	0
610	93	0
611	105	0
612	117	0
613	128	0
614	137	0
615	145	0
616	151	0
617	155	0
618	156	0
619	154	0
620	151	0
621	144	0
622	136	0
623	127	0
624	115	0
625	104	0
626	92	0
627	79	0
628	67	0
629	56	0
630	46	0
631	39	0
632	32	0
633	28	0
634	27	0
635	28	0
636	32	0
637	39	0
638	47	0
639	57	0
640	67	0
641	81	0
642	93	0
643	106	0
644	118	0
645	129	0
646	139	0
647	147	0
648	152	0
649	155	0
650	155	0
651	153	0
652	148	0
653	140	0
654	132	0
655	120	0
656	108	0
657	95	0
658	82	0
659	69	0
660	57	0
661	48	0
662	39	0
663	32	0
664	27	0
665	27	0
666	29	0
667	33	0
668	40	0
669	49	0
670	60	0
671	73	0
672	87	0
673	99	0
674	113	0
675	125	0
676	135	0
677	144	0
678	151	0
679	155	0
680	155	0
681	153	0
682	148	0
683	141	0
684	131	0
685	119	0
686	107	0
687	93	0
688	79	0
689	65	0
690	54	0
691	44	0
692	35	0
693	30	0
694	27	0
695	27	0
696	31	0
697	38	0
698	46	0
699	57	0
700	69	0
701	83	0
702	97	0
703	111	0
704	123	0
705	135	0
706	144	0
707	151	0
708	155	0
709	155	0
710	153	0
711	147	0
712	139	0
713	127	0
714	115	0
715	101	0
716	87	0
717	73	0
718	59	0
719	48	0
720	39	0
721	31	0
722	28	0
723	27	0
724	30	0
725	36	0
726	45	0
727	56	0
728	69	0
729	83	0
730	97	0
731	111	0
732	124	0
733	136	0
734	145	0
735	152	0
736	155	0
737	155	0
738	151	0
739	144	0
740	134	0
741	122	0
742	108	0
743	94	0
744	79	0
745	65	0
746	52	0
747	42	0
748	33	0
749	29	0
750	27	0
751	29	0
752	35	0
753	44	0
754	55	0
755	68	0
756	83	0
757	97	0
758	112	0
759	126	0
760	137	0
