Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 31,25 mV
Zero level = 91

N 	Smpl.	Trig

0	56	0
1	131	0
2	152	0
3	88	0
4	29	0
5	55	0
6	131	0
7	152	0
8	88	0
9	29	0
10	56	0
11	131	0
12	151	0
13	88	0
14	29	0
15	56	0
16	131	0
17	151	0
18	88	0
19	29	0
20	56	0
21	131	0
22	151	0
23	88	0
24	29	0
25	56	0
26	131	0
27	151	0
28	88	0
29	29	0
30	56	0
31	131	0
32	152	0
33	88	0
34	29	0
35	56	0
36	131	0
37	151	0
38	88	0
39	29	0
40	56	0
41	131	0
42	151	0
43	88	0
44	29	0
45	56	0
46	131	0
47	151	0
48	88	0
49	29	0
50	56	0
51	131	0
52	151	0
53	89	0
54	29	0
55	56	0
56	131	0
57	151	0
58	88	0
59	29	0
60	56	0
61	131	0
62	151	0
63	88	0
64	29	0
65	56	0
66	131	0
67	151	0
68	89	0
69	29	0
70	56	0
71	131	0
72	151	0
73	88	0
74	29	0
75	56	0
76	131	0
77	151	0
78	88	0
79	29	0
80	56	0
81	131	0
82	151	0
83	88	0
84	29	0
85	56	0
86	131	0
87	151	0
88	88	0
89	29	0
90	56	0
91	131	0
92	151	0
93	88	0
94	29	0
95	56	0
96	131	0
97	151	0
98	88	0
99	29	0
100	56	0
101	131	0
102	151	0
103	88	0
104	29	0
105	56	0
106	131	0
107	151	0
108	87	0
109	29	0
110	57	0
111	132	0
112	151	0
113	87	0
114	29	0
115	57	0
116	132	0
117	150	0
118	85	0
119	28	0
120	59	0
121	135	0
122	149	0
123	84	0
124	27	0
125	61	0
126	135	0
127	148	0
128	80	0
129	27	0
130	63	0
131	137	0
132	147	0
133	77	0
134	27	0
135	67	0
136	140	0
137	144	0
138	73	0
139	27	0
140	71	0
141	143	0
142	143	0
143	70	0
144	27	0
145	75	0
146	145	0
147	139	0
148	65	0
149	27	0
150	80	0
151	148	0
152	135	0
153	59	0
154	29	0
155	86	0
156	151	0
157	131	0
158	55	0
159	30	0
160	92	0
161	153	0
162	126	0
163	50	0
164	32	0
165	99	0
166	155	0
167	120	0
168	46	0
169	36	0
170	106	0
171	155	0
172	113	0
173	40	0
174	40	0
175	113	0
176	155	0
177	105	0
178	35	0
179	46	0
180	121	0
181	154	0
182	96	0
183	32	0
184	52	0
185	128	0
186	151	0
187	87	0
188	29	0
189	60	0
190	136	0
191	147	0
192	77	0
193	27	0
194	69	0
195	143	0
196	142	0
197	68	0
198	27	0
199	79	0
200	148	0
201	135	0
202	58	0
203	29	0
204	91	0
205	152	0
206	125	0
207	49	0
208	33	0
209	103	0
210	155	0
211	115	0
212	41	0
213	40	0
214	113	0
215	155	0
216	103	0
217	33	0
218	48	0
219	125	0
220	153	0
221	89	0
222	29	0
223	59	0
224	135	0
225	148	0
226	76	0
227	27	0
228	71	0
229	145	0
230	139	0
231	63	0
232	28	0
233	85	0
234	151	0
235	128	0
236	51	0
