Oscilloscope data. 
Time step = 500,0 nS
Voltage step = 31,25 mV
Zero level = 91

N 	Smpl.	Trig

0	27	0
1	27	0
2	28	0
3	28	0
4	27	0
5	28	0
6	27	0
7	27	0
8	28	0
9	28	0
10	28	0
11	28	0
12	28	0
13	28	0
14	29	0
15	29	0
16	29	0
17	29	0
18	30	0
19	31	0
20	31	0
21	31	0
22	31	0
23	32	0
24	32	0
25	32	0
26	32	0
27	33	0
28	33	0
29	34	0
30	35	0
31	35	0
32	35	0
33	35	0
34	36	0
35	37	0
36	38	0
37	39	0
38	38	0
39	39	0
40	39	0
41	40	0
42	41	0
43	41	0
44	41	0
45	43	0
46	43	0
47	43	0
48	44	0
49	45	0
50	46	0
51	47	0
52	48	0
53	48	0
54	49	0
55	49	0
56	51	0
57	51	0
58	51	0
59	53	0
60	53	0
61	55	0
62	55	0
63	55	0
64	57	0
65	58	0
66	59	0
67	59	0
68	60	0
69	61	0
70	62	0
71	63	0
72	63	0
73	64	0
74	65	0
75	67	0
76	67	0
77	68	0
78	69	0
79	71	0
80	71	0
81	73	0
82	73	0
83	75	0
84	75	0
85	76	0
86	76	0
87	77	0
88	79	0
89	80	0
90	81	0
91	83	0
92	83	0
93	84	0
94	85	0
95	86	0
96	87	0
97	88	0
98	89	0
99	89	0
100	91	0
101	92	0
102	93	0
103	93	0
104	95	0
105	96	0
106	96	0
107	97	0
108	99	0
109	100	0
110	101	0
111	103	0
112	104	0
113	104	0
114	107	0
115	107	0
116	108	0
117	110	0
118	111	0
119	112	0
120	114	0
121	115	0
122	116	0
123	118	0
124	119	0
125	120	0
126	121	0
127	123	0
128	124	0
129	126	0
130	127	0
131	128	0
132	129	0
133	131	0
134	132	0
135	133	0
136	135	0
137	136	0
138	137	0
139	139	0
140	139	0
141	141	0
142	143	0
143	144	0
144	145	0
145	145	0
146	147	0
147	147	0
148	149	0
149	149	0
150	150	0
151	151	0
152	152	0
153	152	0
154	153	0
155	153	0
156	154	0
157	155	0
158	155	0
159	155	0
160	155	0
161	155	0
162	155	0
163	155	0
164	156	0
165	155	0
166	155	0
167	155	0
168	153	0
169	153	0
170	153	0
171	151	0
172	151	0
173	150	0
174	149	0
175	148	0
176	147	0
177	145	0
178	144	0
179	143	0
180	140	0
181	139	0
182	136	0
183	135	0
184	132	0
185	131	0
186	128	0
187	127	0
188	123	0
189	121	0
190	119	0
191	116	0
192	113	0
193	110	0
194	108	0
195	105	0
196	102	0
197	99	0
198	95	0
199	93	0
200	89	0
201	87	0
202	84	0
203	80	0
204	77	0
205	73	0
206	71	0
207	68	0
208	65	0
209	62	0
210	59	0
211	57	0
212	55	0
213	51	0
214	49	0
215	47	0
216	44	0
217	42	0
218	39	0
219	37	0
220	36	0
221	34	0
222	32	0
223	31	0
224	31	0
225	29	0
226	28	0
227	27	0
228	27	0
229	27	0
230	27	0
231	27	0
232	28	0
233	29	0
234	30	0
235	31	0
236	32	0
237	33	0
238	37	0
239	39	0
240	40	0
241	43	0
242	46	0
243	49	0
244	51	0
245	55	0
246	58	0
247	61	0
248	65	0
249	69	0
250	73	0
251	77	0
252	81	0
253	86	0
254	89	0
255	93	0
256	97	0
257	102	0
258	107	0
259	111	0
260	115	0
261	119	0
262	123	0
263	127	0
264	130	0
265	133	0
266	137	0
267	140	0
268	143	0
269	145	0
270	147	0
271	149	0
272	151	0
273	153	0
274	153	0
275	155	0
276	155	0
277	155	0
278	155	0
279	155	0
280	153	0
281	152	0
282	151	0
283	149	0
284	147	0
285	144	0
286	141	0
287	137	0
288	134	0
289	131	0
290	126	0
291	121	0
292	117	0
293	112	0
294	107	0
295	103	0
296	97	0
297	92	0
298	87	0
299	83	0
300	77	0
301	72	0
302	67	0
303	63	0
304	57	0
305	53	0
306	49	0
307	46	0
308	42	0
309	39	0
310	36	0
311	33	0
312	30	0
313	29	0
314	28	0
315	28	0
316	28	0
317	27	0
318	28	0
319	29	0
320	31	0
321	33	0
322	36	0
323	39	0
324	42	0
325	47	0
326	51	0
327	55	0
328	60	0
329	65	0
330	71	0
331	76	0
332	83	0
333	88	0
334	94	0
335	99	0
336	105	0
337	111	0
338	117	0
339	123	0
340	127	0
341	132	0
342	136	0
343	141	0
344	145	0
345	148	0
346	151	0
347	153	0
348	155	0
349	155	0
350	155	0
351	155	0
352	155	0
353	152	0
354	151	0
355	147	0
356	144	0
357	140	0
358	136	0
359	131	0
360	126	0
361	120	0
362	115	0
363	108	0
364	103	0
365	95	0
366	89	0
367	82	0
368	76	0
369	69	0
370	63	0
371	57	0
372	52	0
373	47	0
374	42	0
375	38	0
376	35	0
377	31	0
378	29	0
379	28	0
380	27	0
381	27	0
382	28	0
383	29	0
384	32	0
385	35	0
386	39	0
387	43	0
388	47	0
389	53	0
390	59	0
391	65	0
392	72	0
393	79	0
394	87	0
395	93	0
396	100	0
397	108	0
398	114	0
399	121	0
400	128	0
401	132	0
402	139	0
403	143	0
404	147	0
405	151	0
406	153	0
407	155	0
408	156	0
409	155	0
410	155	0
411	153	0
412	149	0
413	146	0
414	142	0
415	136	0
416	131	0
417	124	0
418	118	0
419	111	0
420	104	0
421	95	0
422	87	0
423	79	0
424	72	0
425	65	0
426	58	0
427	51	0
428	46	0
429	41	0
430	36	0
431	32	0
432	30	0
433	28	0
434	27	0
435	27	0
436	29	0
437	31	0
438	35	0
439	39	0
440	44	0
441	49	0
442	56	0
443	63	0
444	71	0
445	79	0
446	87	0
447	95	0
448	104	0
449	112	0
450	119	0
451	127	0
452	133	0
453	139	0
454	144	0
455	149	0
456	152	0
457	155	0
458	156	0
459	155	0
460	155	0
461	151	0
462	148	0
463	143	0
464	137	0
465	131	0
466	123	0
467	116	0
468	108	0
469	99	0
470	91	0
471	82	0
472	73	0
473	64	0
474	57	0
475	51	0
476	43	0
477	38	0
478	33	0
479	30	0
480	28	0
481	28	0
482	27	0
483	29	0
484	32	0
485	37	0
486	43	0
487	49	0
488	55	0
489	63	0
490	72	0
491	81	0
492	91	0
493	99	0
494	108	0
495	116	0
496	125	0
497	133	0
498	139	0
499	145	0
500	150	0
501	153	0
502	155	0
503	155	0
504	155	0
505	152	0
506	148	0
507	143	0
508	137	0
509	129	0
510	121	0
511	112	0
512	103	0
513	93	0
514	84	0
515	75	0
516	65	0
517	56	0
518	49	0
519	43	0
520	36	0
521	31	0
522	29	0
523	27	0
524	27	0
525	29	0
526	32	0
527	38	0
528	43	0
529	50	0
530	58	0
531	67	0
532	76	0
533	87	0
534	97	0
535	107	0
536	116	0
537	126	0
538	133	0
539	140	0
540	147	0
541	151	0
542	155	0
543	155	0
544	155	0
545	152	0
546	149	0
547	143	0
548	137	0
549	129	0
550	120	0
551	111	0
552	100	0
553	90	0
554	79	0
555	68	0
556	60	0
557	51	0
558	43	0
559	37	0
560	32	0
561	28	0
562	27	0
563	27	0
564	30	0
565	35	0
566	40	0
567	47	0
568	55	0
569	64	0
570	75	0
571	86	0
572	96	0
573	107	0
574	118	0
575	127	0
576	135	0
577	143	0
578	149	0
579	153	0
580	155	0
581	155	0
582	153	0
583	151	0
584	144	0
585	137	0
586	129	0
587	119	0
588	108	0
589	97	0
590	86	0
591	75	0
592	64	0
593	54	0
594	45	0
595	39	0
596	32	0
597	29	0
598	27	0
599	28	0
600	30	0
601	35	0
602	41	0
603	49	0
604	59	0
605	69	0
606	80	0
607	92	0
608	104	0
609	115	0
610	125	0
611	135	0
612	143	0
613	149	0
614	153	0
615	155	0
616	155	0
617	153	0
618	148	0
619	143	0
620	133	0
621	123	0
622	113	0
623	100	0
624	89	0
625	77	0
626	65	0
627	55	0
628	45	0
629	39	0
630	32	0
631	28	0
632	27	0
633	28	0
634	31	0
635	37	0
636	44	0
637	55	0
638	64	0
639	76	0
640	88	0
641	101	0
642	112	0
643	124	0
644	134	0
645	143	0
646	148	0
647	154	0
648	155	0
649	155	0
650	152	0
651	146	0
652	139	0
653	129	0
654	119	0
655	107	0
656	93	0
657	81	0
658	69	0
659	57	0
660	47	0
661	39	0
662	32	0
663	29	0
664	27	0
665	28	0
666	32	0
667	39	0
668	47	0
669	57	0
670	69	0
671	81	0
672	95	0
673	108	0
674	120	0
675	131	0
676	140	0
677	148	0
678	153	0
679	155	0
680	155	0
681	152	0
682	146	0
683	138	0
684	127	0
685	116	0
686	103	0
687	90	0
688	76	0
689	64	0
690	53	0
691	43	0
692	35	0
693	30	0
694	27	0
695	27	0
696	31	0
697	37	0
698	46	0
699	56	0
700	69	0
701	82	0
702	95	0
703	109	0
704	121	0
705	133	0
706	143	0
707	149	0
708	155	0
709	155	0
710	154	0
711	149	0
712	142	0
713	132	0
714	120	0
715	107	0
716	93	0
717	80	0
718	67	0
719	54	0
720	43	0
721	35	0
722	30	0
723	27	0
724	27	0
725	32	0
726	39	0
727	48	0
728	60	0
729	72	0
730	87	0
731	100	0
732	114	0
733	127	0
734	139	0
735	147	0
736	153	0
737	155	0
738	155	0
739	151	0
740	144	0
741	133	0
742	121	0
743	109	0
744	95	0
745	80	0
746	66	0
747	53	0
748	42	0
749	34	0
750	29	0
751	27	0
752	28	0
753	34	0
754	41	0
755	52	0
756	65	0
757	80	0
758	94	0
759	109	0
760	123	0
761	134	0
762	144	0
763	152	0
764	155	0
765	155	0
766	152	0
767	145	0
768	135	0
769	123	0
770	109	0
771	94	0
772	79	0
773	63	0
774	51	0
775	41	0
776	32	0
777	28	0
778	28	0
779	31	0
780	37	0
781	47	0
782	59	0
783	72	0
784	87	0
785	103	0
786	118	0
787	131	0
788	142	0
789	150	0
790	155	0
791	155	0
792	153	0
793	145	0
794	135	0
795	123	0
796	108	0
797	93	0
798	77	0
799	63	0
800	50	0
801	39	0
802	31	0
803	27	0
804	28	0
805	31	0
806	40	0
807	51	0
808	64	0
809	79	0
810	95	0
811	111	0
812	125	0
813	137	0
814	147	0
815	153	0
816	156	0
817	153	0
818	147	0
819	138	0
820	125	0
821	111	0
822	95	0
823	79	0
824	63	0
825	49	0
826	39	0
827	31	0
828	27	0
829	28	0
830	32	0
831	42	0
832	53	0
833	68	0
834	83	0
835	101	0
836	116	0
837	130	0
838	143	0
839	151	0
840	155	0
841	155	0
842	151	0
843	142	0
844	130	0
845	116	0
846	99	0
847	83	0
848	67	0
849	52	0
850	40	0
851	32	0
852	28	0
853	27	0
854	33	0
855	41	0
856	53	0
857	68	0
858	85	0
859	102	0
860	118	0
861	132	0
862	144	0
863	151	0
864	155	0
865	154	0
866	148	0
867	139	0
868	125	0
869	109	0
870	92	0
871	75	0
872	59	0
873	47	0
874	35	0
875	29	0
876	27	0
877	31	0
878	39	0
879	49	0
880	64	0
881	81	0
882	97	0
883	115	0
884	130	0
885	143	0
886	151	0
887	155	0
888	155	0
889	148	0
890	139	0
891	124	0
892	108	0
893	91	0
894	74	0
895	57	0
896	43	0
897	33	0
898	28	0
899	27	0
900	32	0
901	41	0
902	55	0
903	70	0
904	88	0
905	105	0
906	123	0
907	136	0
908	148	0
909	155	0
910	155	0
911	152	0
912	143	0
913	130	0
914	114	0
915	96	0
916	79	0
917	61	0
918	47	0
919	35	0
920	28	0
921	27	0
922	31	0
923	40	0
924	53	0
925	69	0
926	87	0
927	106	0
928	123	0
929	137	0
930	148	0
931	155	0
932	155	0
933	151	0
934	141	0
935	127	0
936	110	0
937	91	0
938	73	0
939	56	0
940	43	0
941	32	0
942	27	0
943	28	0
944	35	0
945	45	0
946	61	0
947	79	0
948	96	0
949	115	0
950	132	0
951	145	0
952	153	0
953	155	0
954	152	0
955	144	0
956	131	0
957	114	0
958	96	0
959	76	0
960	59	0
961	44	0
962	33	0
963	27	0
964	28	0
965	34	0
966	46	0
967	60	0
968	79	0
969	97	0
970	116	0
971	133	0
972	145	0
973	153	0
974	155	0
975	151	0
976	142	0
977	127	0
978	109	0
979	91	0
980	71	0
981	54	0
982	40	0
983	31	0
984	27	0
985	29	0
986	39	0
987	52	0
988	69	0
989	89	0
990	108	0
991	126	0
992	141	0
993	151	0
994	155	0
995	153	0
996	145	0
997	132	0
998	115	0
999	95	0
