Oscilloscope data. 
Time step = 500,0 nS
Voltage step = 31,25 mV
Zero level = 91

N 	Smpl.	Trig

0	74	0
1	153	0
2	109	0
3	29	0
4	74	0
5	153	0
6	109	0
7	29	0
8	74	0
9	153	0
10	109	0
11	30	0
12	73	0
13	153	0
14	109	0
15	30	0
16	74	0
17	152	0
18	109	0
19	30	0
20	74	0
21	153	0
22	109	0
23	29	0
24	73	0
25	153	0
26	108	0
27	29	0
28	74	0
29	153	0
30	109	0
31	29	0
32	74	0
33	153	0
34	109	0
35	30	0
36	74	0
37	153	0
38	109	0
39	30	0
40	74	0
41	153	0
42	109	0
43	29	0
44	75	0
45	153	0
46	109	0
47	29	0
48	75	0
49	153	0
50	109	0
51	29	0
52	74	0
53	153	0
54	109	0
55	29	0
56	74	0
57	153	0
58	109	0
59	29	0
60	74	0
61	153	0
62	109	0
63	29	0
64	75	0
65	153	0
66	109	0
67	29	0
68	74	0
69	153	0
70	109	0
71	30	0
72	73	0
73	153	0
74	109	0
75	29	0
76	74	0
77	153	0
78	109	0
79	30	0
80	74	0
81	153	0
82	109	0
83	29	0
84	74	0
85	153	0
86	109	0
87	30	0
88	74	0
89	153	0
90	109	0
91	29	0
92	73	0
93	153	0
94	109	0
95	30	0
96	73	0
97	153	0
98	109	0
99	30	0
100	73	0
101	153	0
102	108	0
103	29	0
104	73	0
105	153	0
106	109	0
107	30	0
108	75	0
109	153	0
110	108	0
111	29	0
112	75	0
113	153	0
114	107	0
115	28	0
116	76	0
117	155	0
118	106	0
119	28	0
120	77	0
121	154	0
122	104	0
123	29	0
124	79	0
125	155	0
126	103	0
127	28	0
128	81	0
129	155	0
130	100	0
131	27	0
132	84	0
133	155	0
134	97	0
135	27	0
136	87	0
137	155	0
138	94	0
139	27	0
140	90	0
141	156	0
142	91	0
143	27	0
144	93	0
145	155	0
146	87	0
147	27	0
148	97	0
149	155	0
150	83	0
151	28	0
152	102	0
153	155	0
154	79	0
155	29	0
156	106	0
157	153	0
158	73	0
159	30	0
160	111	0
161	152	0
162	70	0
163	31	0
164	116	0
165	150	0
166	63	0
167	35	0
168	121	0
169	148	0
170	59	0
171	37	0
172	127	0
173	144	0
174	54	0
175	41	0
176	131	0
177	140	0
178	48	0
179	45	0
180	137	0
181	135	0
182	44	0
183	50	0
184	141	0
185	129	0
186	39	0
187	57	0
188	146	0
189	123	0
190	35	0
191	63	0
192	149	0
193	116	0
194	31	0
195	71	0
196	153	0
197	108	0
198	28	0
199	79	0
200	155	0
201	99	0
202	27	0
203	87	0
204	156	0
205	90	0
206	27	0
207	96	0
208	155	0
209	81	0
210	28	0
211	107	0
212	153	0
213	71	0
214	31	0
215	115	0
216	151	0
217	62	0
218	35	0
219	124	0
220	144	0
221	54	0
222	41	0
223	133	0
224	138	0
225	45	0
226	48	0
227	141	0
228	129	0
229	39	0
230	59	0
231	147	0
232	120	0
233	32	0
234	68	0
235	152	0
236	109	0
237	28	0
238	80	0
239	155	0
240	96	0
241	27	0
242	92	0
243	156	0
244	85	0
245	28	0
246	105	0
247	153	0
248	72	0
249	31	0
250	117	0
251	148	0
252	59	0
253	38	0
254	128	0
255	141	0
256	48	0
257	46	0
258	139	0
259	131	0
260	39	0
261	57	0
262	147	0
263	119	0
264	32	0
265	70	0
266	153	0
267	105	0
268	28	0
269	85	0
270	156	0
271	90	0
272	27	0
273	99	0
274	155	0
275	76	0
276	30	0
277	114	0
278	150	0
279	61	0
280	38	0
281	128	0
282	141	0
283	49	0
284	47	0
285	140	0
286	129	0
287	38	0
288	60	0
289	149	0
290	115	0
291	30	0
292	76	0
293	155	0
294	98	0
295	27	0
296	93	0
297	155	0
298	81	0
299	28	0
300	110	0
301	151	0
302	65	0
303	36	0
304	126	0
305	143	0
306	49	0
307	46	0
308	140	0
309	129	0
310	37	0
311	61	0
312	150	0
313	113	0
314	30	0
315	79	0
316	155	0
317	93	0
318	27	0
319	97	0
320	155	0
321	75	0
322	31	0
323	117	0
324	148	0
325	57	0
326	40	0
327	133	0
328	136	0
329	42	0
330	55	0
331	147	0
332	119	0
333	31	0
334	72	0
335	154	0
336	99	0
337	27	0
338	93	0
339	155	0
340	78	0
341	29	0
342	114	0
343	149	0
344	59	0
345	39	0
346	132	0
347	137	0
348	41	0
349	55	0
350	147	0
351	119	0
352	31	0
353	75	0
354	155	0
355	96	0
356	27	0
357	97	0
358	155	0
359	74	0
360	31	0
361	119	0
362	147	0
363	54	0
364	43	0
365	139	0
366	131	0
367	38	0
368	63	0
369	151	0
370	110	0
371	29	0
372	85	0
373	156	0
374	86	0
375	28	0
376	109	0
377	151	0
378	62	0
379	38	0
380	131	0
381	138	0
382	43	0
383	55	0
384	147	0
385	117	0
386	31	0
387	77	0
388	155	0
389	92	0
390	28	0
391	103	0
392	153	0
393	67	0
394	35	0
395	127	0
396	140	0
397	45	0
398	51	0
399	145	0
400	119	0
401	31	0
402	75	0
403	155	0
404	94	0
405	27	0
406	101	0
407	153	0
408	68	0
409	35	0
410	127	0
411	140	0
412	45	0
413	53	0
414	145	0
415	119	0
416	31	0
417	78	0
418	155	0
419	91	0
420	28	0
421	106	0
422	152	0
423	63	0
424	37	0
425	131	0
426	137	0
427	40	0
428	58	0
429	149	0
430	111	0
431	28	0
432	85	0
433	155	0
434	82	0
435	29	0
436	113	0
437	148	0
438	55	0
439	43	0
440	139	0
441	128	0
442	35	0
443	67	0
444	153	0
445	100	0
446	27	0
447	97	0
448	154	0
449	69	0
450	33	0
451	127	0
452	140	0
453	44	0
454	54	0
455	147	0
456	114	0
457	29	0
458	83	0
459	155	0
460	84	0
461	29	0
462	115	0
463	147	0
464	55	0
465	44	0
466	141	0
467	125	0
468	33	0
469	72	0
470	155	0
471	94	0
472	27	0
473	105	0
474	151	0
475	61	0
476	39	0
477	134	0
478	133	0
479	38	0
480	63	0
481	153	0
482	103	0
483	27	0
484	96	0
485	155	0
486	68	0
487	35	0
488	128	0
489	138	0
490	41	0
491	59	0
492	151	0
493	108	0
494	28	0
495	91	0
496	155	0
497	73	0
498	33	0
499	125	0
500	140	0
501	44	0
502	55	0
503	149	0
504	111	0
505	28	0
506	89	0
507	155	0
508	76	0
509	32	0
510	124	0
511	142	0
512	44	0
513	55	0
514	148	0
515	111	0
516	29	0
517	89	0
518	155	0
519	75	0
520	33	0
521	125	0
522	140	0
523	44	0
524	56	0
525	150	0
526	110	0
527	27	0
528	92	0
529	155	0
530	72	0
531	33	0
532	128	0
533	138	0
534	40	0
535	60	0
536	151	0
537	105	0
538	27	0
539	97	0
540	153	0
541	65	0
542	36	0
543	132	0
544	133	0
545	37	0
546	66	0
547	153	0
548	96	0
549	27	0
550	105	0
551	151	0
552	57	0
553	42	0
554	140	0
555	125	0
556	32	0
557	76	0
558	156	0
559	86	0
560	29	0
561	115	0
562	146	0
563	49	0
564	51	0
565	147	0
566	113	0
567	29	0
568	88	0
569	155	0
570	73	0
571	33	0
572	128	0
573	136	0
574	40	0
575	62	0
576	153	0
577	99	0
578	27	0
579	104	0
580	151	0
581	59	0
582	41	0
583	140	0
584	123	0
585	31	0
586	79	0
587	156	0
588	82	0
589	30	0
590	121	0
591	143	0
592	44	0
593	56	0
594	151	0
595	106	0
596	27	0
597	98	0
598	153	0
599	63	0
600	40	0
601	137	0
602	127	0
603	33	0
604	76	0
605	156	0
606	84	0
607	30	0
608	120	0
609	143	0
610	45	0
611	56	0
612	151	0
613	105	0
614	27	0
615	99	0
616	152	0
617	61	0
618	41	0
619	139	0
620	123	0
621	31	0
622	80	0
623	155	0
624	79	0
625	31	0
626	125	0
627	139	0
628	41	0
629	63	0
630	153	0
631	97	0
632	27	0
633	109	0
634	148	0
635	53	0
636	48	0
637	147	0
638	113	0
639	29	0
640	92	0
641	155	0
642	67	0
643	38	0
644	135	0
645	128	0
646	33	0
647	76	0
648	155	0
649	82	0
650	31	0
651	123	0
652	139	0
653	40	0
654	63	0
655	153	0
656	96	0
657	28	0
658	111	0
659	147	0
660	51	0
661	51	0
662	148	0
663	110	0
664	27	0
665	97	0
666	152	0
667	60	0
668	43	0
669	141	0
670	121	0
671	30	0
672	86	0
673	155	0
674	71	0
675	35	0
676	133	0
677	130	0
678	33	0
679	75	0
680	156	0
681	81	0
682	31	0
683	125	0
684	137	0
685	39	0
686	66	0
687	155	0
688	91	0
689	28	0
690	117	0
691	144	0
692	44	0
693	59	0
694	152	0
695	100	0
696	27	0
697	110	0
698	147	0
699	50	0
700	52	0
701	149	0
702	106	0
703	28	0
704	103	0
705	151	0
706	54	0
707	47	0
708	146	0
709	112	0
710	27	0
711	96	0
712	153	0
713	59	0
714	43	0
715	143	0
716	117	0
717	28	0
718	93	0
719	154	0
720	63	0
721	41	0
722	141	0
723	120	0
724	29	0
725	88	0
726	155	0
727	66	0
728	39	0
729	139	0
730	123	0
731	29	0
732	87	0
733	155	0
734	68	0
735	39	0
736	137	0
737	124	0
738	31	0
739	85	0
740	155	0
741	69	0
742	38	0
743	136	0
744	125	0
745	31	0
746	84	0
747	155	0
748	69	0
749	38	0
750	137	0
751	124	0
752	31	0
753	85	0
754	155	0
755	69	0
756	39	0
757	139	0
758	123	0
759	29	0
760	87	0
761	155	0
762	67	0
763	39	0
764	139	0
765	120	0
766	28	0
767	91	0
768	155	0
769	64	0
770	41	0
771	143	0
772	119	0
773	29	0
774	94	0
775	153	0
776	60	0
777	44	0
778	145	0
779	113	0
780	28	0
781	99	0
782	151	0
783	55	0
784	49	0
785	147	0
786	108	0
787	27	0
788	105	0
789	149	0
790	50	0
791	53	0
792	151	0
793	101	0
794	27	0
795	112	0
796	145	0
797	44	0
798	60	0
799	154	0
800	92	0
801	28	0
802	120	0
803	140	0
804	39	0
805	68	0
806	155	0
807	84	0
808	31	0
809	128	0
810	133	0
811	33	0
812	79	0
813	155	0
814	73	0
815	36	0
816	136	0
817	123	0
818	29	0
819	89	0
820	155	0
821	63	0
822	43	0
823	144	0
824	113	0
825	27	0
826	101	0
827	151	0
828	52	0
829	52	0
830	151	0
831	101	0
832	27	0
833	113	0
834	144	0
835	42	0
836	64	0
837	155	0
838	87	0
839	31	0
840	127	0
841	134	0
842	33	0
843	79	0
844	155	0
845	71	0
846	38	0
847	139	0
848	121	0
849	28	0
850	93	0
851	153	0
852	57	0
853	48	0
854	147	0
855	105	0
856	27	0
857	111	0
858	145	0
859	43	0
860	62	0
861	155	0
862	88	0
863	31	0
864	127	0
865	133	0
866	33	0
867	79	0
868	155	0
869	69	0
870	39	0
871	141	0
872	117	0
873	27	0
874	99	0
875	151	0
876	53	0
877	53	0
878	151	0
879	97	0
880	28	0
881	119	0
882	139	0
883	38	0
884	72	0
885	155	0
886	76	0
887	36	0
888	137	0
889	123	0
890	28	0
891	94	0
892	152	0
893	55	0
894	49	0
895	150	0
896	100	0
897	27	0
898	116	0
899	141	0
900	39	0
901	71	0
902	156	0
903	76	0
904	36	0
905	137	0
906	121	0
907	28	0
908	96	0
909	152	0
910	53	0
911	51	0
912	151	0
913	97	0
914	28	0
915	120	0
916	137	0
917	36	0
918	76	0
919	156	0
920	71	0
921	39	0
922	141	0
923	115	0
924	27	0
925	103	0
926	148	0
927	47	0
928	59	0
929	153	0
930	87	0
931	31	0
932	129	0
933	130	0
934	31	0
935	88	0
936	154	0
937	60	0
938	47	0
939	148	0
940	102	0
941	27	0
942	117	0
943	140	0
944	37	0
945	73	0
946	155	0
947	72	0
948	39	0
949	141	0
950	115	0
951	27	0
952	105	0
953	147	0
954	45	0
955	63	0
956	155	0
957	83	0
958	33	0
959	134	0
960	124	0
961	28	0
962	95	0
963	151	0
964	52	0
965	55	0
966	152	0
967	91	0
968	30	0
969	127	0
970	131	0
971	31	0
972	87	0
973	153	0
974	58	0
975	49	0
976	151	0
977	98	0
978	28	0
979	121	0
980	135	0
981	34	0
982	83	0
983	155	0
984	62	0
985	45	0
986	147	0
987	102	0
988	27	0
989	119	0
990	137	0
991	35	0
992	79	0
993	155	0
994	64	0
995	44	0
996	147	0
997	104	0
998	28	0
999	116	0
