Oscilloscope data. 
Time step = 200,0 nS
Voltage step = 31,25 mV
Zero level = 121

N 	Smpl.	Trig

0	158	0
1	153	0
2	53	0
3	54	0
4	113	0
5	185	0
6	153	0
7	157	0
8	53	0
9	89	0
10	159	0
11	81	0
12	115	0
13	155	0
14	51	0
15	114	0
16	156	0
17	127	0
18	85	0
19	155	0
20	112	0
21	128	0
22	156	0
23	185	0
24	190	0
25	189	0
26	81	0
27	129	0
28	159	0
29	115	0
30	189	0
31	129	0
32	129	0
33	153	0
34	123	0
35	187	0
36	123	0
37	119	0
38	57	0
39	79	0
40	54	0
41	155	0
42	185	0
43	159	0
44	87	0
45	155	0
46	156	0
47	84	0
48	121	0
49	55	0
50	190	0
51	87	0
52	123	0
53	89	0
54	188	0
55	87	0
56	85	0
57	85	0
58	87	0
59	158	0
60	187	0
61	85	0
62	86	0
63	88	0
64	89	0
65	155	0
66	113	0
67	153	0
68	155	0
69	119	0
70	189	0
71	57	0
72	157	0
73	79	0
74	115	0
75	52	0
76	89	0
77	87	0
78	85	0
79	87	0
80	159	0
81	156	0
82	83	0
83	115	0
84	155	0
85	53	0
86	125	0
87	88	0
88	129	0
89	85	0
90	158	0
91	87	0
92	189	0
93	158	0
94	129	0
95	130	0
96	126	0
97	155	0
98	53	0
99	154	0
100	57	0
101	160	0
102	159	0
103	191	0
104	129	0
105	116	0
106	188	0
107	113	0
108	155	0
109	159	0
110	55	0
111	189	0
112	159	0
113	53	0
114	157	0
115	86	0
116	87	0
117	114	0
118	154	0
119	123	0
120	113	0
121	87	0
122	155	0
123	191	0
124	54	0
125	115	0
126	52	0
127	86	0
128	113	0
129	159	0
130	86	0
131	121	0
132	125	0
133	87	0
134	190	0
135	79	0
136	153	0
137	157	0
138	52	0
139	85	0
140	111	0
141	115	0
142	116	0
143	51	0
144	159	0
145	157	0
146	78	0
147	86	0
148	87	0
149	190	0
150	86	0
151	52	0
152	154	0
153	54	0
154	112	0
155	53	0
156	157	0
157	153	0
158	155	0
159	127	0
160	126	0
161	155	0
162	159	0
163	153	0
164	130	0
165	186	0
166	85	0
167	128	0
168	153	0
169	83	0
170	115	0
171	189	0
172	87	0
173	128	0
174	86	0
175	153	0
176	126	0
177	55	0
178	87	0
179	53	0
180	129	0
181	56	0
182	159	0
183	112	0
184	123	0
185	187	0
186	115	0
187	129	0
188	126	0
189	52	0
190	130	0
191	55	0
192	86	0
193	113	0
194	188	0
195	79	0
196	158	0
197	82	0
198	79	0
199	188	0
200	129	0
201	123	0
202	55	0
203	155	0
204	56	0
205	153	0
206	85	0
207	191	0
208	86	0
209	128	0
210	81	0
211	155	0
212	188	0
213	185	0
214	87	0
215	122	0
216	84	0
217	113	0
218	116	0
219	88	0
220	87	0
221	59	0
222	54	0
223	158	0
224	121	0
225	87	0
226	84	0
227	86	0
228	158	0
229	57	0
230	85	0
231	83	0
232	190	0
233	86	0
234	53	0
235	155	0
236	87	0
237	158	0
238	89	0
239	120	0
240	157	0
241	88	0
242	88	0
243	86	0
244	160	0
245	87	0
246	189	0
247	157	0
248	120	0
249	119	0
250	53	0
251	87	0
252	57	0
253	159	0
254	128	0
255	115	0
256	86	0
257	81	0
258	51	0
259	117	0
260	83	0
261	56	0
262	155	0
263	117	0
264	129	0
265	89	0
266	85	0
267	130	0
268	113	0
269	86	0
270	154	0
271	117	0
272	114	0
273	153	0
274	154	0
275	112	0
276	123	0
277	83	0
278	155	0
279	85	0
280	159	0
281	86	0
282	80	0
283	117	0
284	126	0
285	156	0
286	59	0
287	86	0
288	56	0
289	86	0
290	129	0
291	155	0
292	157	0
293	189	0
294	129	0
295	153	0
296	191	0
297	117	0
298	158	0
299	123	0
300	55	0
301	115	0
302	157	0
303	116	0
304	116	0
305	88	0
306	89	0
307	52	0
308	86	0
309	157	0
310	121	0
311	189	0
312	117	0
313	188	0
314	154	0
315	86	0
316	55	0
317	59	0
318	113	0
319	89	0
320	113	0
321	83	0
322	87	0
323	87	0
324	120	0
325	122	0
326	153	0
327	87	0
328	117	0
329	85	0
330	86	0
331	123	0
332	53	0
333	54	0
334	185	0
335	156	0
336	122	0
337	152	0
338	128	0
339	189	0
340	81	0
341	87	0
342	87	0
343	189	0
344	122	0
345	81	0
346	153	0
347	58	0
348	85	0
349	55	0
350	86	0
351	160	0
352	117	0
353	81	0
354	53	0
355	87	0
356	86	0
357	161	0
358	191	0
359	116	0
360	191	0
361	129	0
362	113	0
363	117	0
364	55	0
365	87	0
366	85	0
367	185	0
368	159	0
369	191	0
370	86	0
371	155	0
