Oscilloscope data. 
Time step = 10,00 uS
Voltage step = 31,25 mV
Zero level = 121

N 	Smpl.	Trig

0	161	0
1	183	0
2	181	0
3	155	0
4	117	0
5	80	0
6	58	0
7	61	0
8	86	0
9	125	0
10	161	0
11	183	0
12	181	0
13	155	0
14	117	0
15	80	0
16	58	0
17	61	0
18	87	0
19	125	0
20	161	0
21	184	0
22	181	0
23	155	0
24	117	0
25	80	0
26	59	0
27	61	0
28	86	0
29	125	0
30	161	0
31	184	0
32	181	0
33	155	0
34	117	0
35	80	0
36	59	0
37	61	0
38	86	0
39	125	0
40	162	0
41	183	0
42	181	0
43	155	0
44	117	0
45	81	0
46	59	0
47	61	0
48	87	0
49	125	0
50	161	0
51	183	0
52	181	0
53	155	0
54	117	0
55	81	0
56	59	0
57	61	0
58	86	0
59	125	0
60	161	0
61	183	0
62	181	0
63	155	0
64	117	0
65	80	0
66	59	0
67	61	0
68	87	0
69	125	0
70	161	0
71	184	0
72	181	0
73	156	0
74	117	0
75	80	0
76	59	0
77	61	0
78	86	0
79	125	0
80	162	0
81	183	0
82	181	0
83	155	0
84	117	0
85	81	0
86	59	0
87	61	0
88	87	0
89	125	0
90	161	0
91	184	0
92	181	0
93	155	0
94	117	0
95	80	0
96	59	0
97	61	0
98	87	0
99	125	0
100	161	0
101	184	0
102	181	0
103	155	0
104	117	0
105	80	0
106	59	0
107	61	0
108	87	0
109	125	0
110	161	0
111	184	0
112	181	0
113	155	0
114	117	0
115	80	0
116	59	0
117	62	0
118	87	0
119	125	0
120	161	0
121	183	0
122	181	0
123	155	0
124	117	0
125	80	0
126	58	0
127	61	0
128	86	0
129	125	0
130	161	0
131	184	0
132	181	0
133	156	0
134	117	0
135	81	0
136	59	0
137	61	0
138	87	0
139	125	0
140	162	0
141	183	0
142	181	0
143	155	0
144	117	0
145	81	0
146	59	0
147	61	0
148	87	0
149	125	0
150	161	0
151	184	0
152	181	0
153	155	0
154	117	0
155	81	0
156	58	0
157	61	0
158	87	0
159	125	0
160	161	0
161	183	0
162	181	0
163	155	0
164	117	0
165	80	0
166	59	0
167	61	0
168	86	0
169	125	0
170	161	0
171	183	0
172	181	0
173	156	0
174	117	0
175	81	0
176	59	0
177	61	0
178	87	0
179	125	0
180	161	0
181	183	0
182	181	0
183	155	0
184	117	0
185	80	0
186	58	0
187	61	0
188	87	0
189	125	0
190	162	0
191	184	0
192	181	0
193	155	0
194	117	0
195	81	0
196	59	0
197	61	0
198	87	0
199	125	0
200	162	0
201	183	0
202	181	0
203	155	0
204	117	0
205	81	0
206	58	0
207	61	0
208	86	0
209	125	0
210	161	0
211	183	0
212	181	0
213	155	0
214	117	0
215	81	0
216	59	0
217	61	0
218	87	0
219	125	0
220	161	0
221	183	0
222	181	0
223	156	0
224	117	0
