Oscilloscope data. 
Time step = 10,00 nS
Voltage step = 62,50 mV
Zero level = 127

N 	Smpl.	Trig

0	147	0
1	135	0
2	119	0
3	109	0
4	119	0
5	129	0
6	119	0
7	119	0
8	137	0
9	139	0
10	127	0
11	137	0
12	145	0
13	147	0
14	144	0
15	136	0
16	117	0
17	109	0
18	111	0
19	111	0
20	119	0
21	130	0
22	127	0
23	138	0
24	137	0
25	118	0
26	118	0
27	139	0
28	146	0
29	146	0
30	145	0
31	144	0
32	137	0
33	127	0
34	137	0
35	137	0
36	127	0
37	136	0
38	147	0
39	137	0
40	117	0
41	118	0
42	128	0
43	119	0
44	119	0
45	137	0
46	138	0
47	118	0
48	111	0
49	111	0
50	120	0
51	138	0
52	138	0
53	118	0
54	117	0
55	128	0
56	119	0
57	110	0
58	111	0
59	119	0
60	129	0
61	120	0
62	118	0
63	128	0
64	119	0
65	110	0
66	119	0
67	130	0
68	128	0
69	139	0
70	145	0
71	147	0
72	145	0
73	145	0
74	145	0
75	136	0
76	117	0
77	109	0
78	119	0
79	138	0
80	137	0
81	119	0
82	110	0
83	119	0
84	129	0
85	119	0
86	111	0
87	111	0
88	111	0
89	111	0
90	120	0
91	129	0
92	119	0
93	110	0
94	119	0
95	138	0
96	139	0
97	127	0
98	136	0
99	138	0
100	119	0
101	117	0
102	129	0
103	119	0
104	110	0
105	111	0
106	119	0
107	139	0
108	139	0
109	117	0
110	111	0
111	119	0
112	129	0
113	119	0
114	111	0
115	111	0
116	111	0
117	119	0
118	139	0
119	138	0
120	127	0
121	128	0
122	127	0
123	138	0
124	137	0
125	127	0
126	128	0
127	127	0
128	129	0
129	127	0
130	138	0
131	144	0
132	139	0
133	126	0
134	137	0
135	137	0
136	119	0
137	111	0
138	119	0
139	139	0
140	138	0
141	118	0
142	110	0
143	111	0
144	120	0
145	129	0
146	127	0
147	128	0
148	127	0
149	138	0
150	145	0
151	147	0
152	135	0
153	118	0
154	109	0
155	120	0
156	139	0
157	138	0
158	118	0
159	117	0
160	129	0
161	120	0
162	119	0
163	139	0
164	146	0
165	137	0
166	117	0
167	110	0
168	111	0
169	120	0
170	129	0
171	127	0
172	137	0
173	137	0
174	118	0
175	111	0
176	120	0
177	139	0
178	147	0
179	138	0
180	127	0
181	136	0
182	147	0
183	146	0
184	144	0
185	145	0
186	136	0
187	127	0
188	136	0
189	137	0
190	127	0
191	137	0
192	147	0
193	137	0
194	127	0
195	137	0
196	137	0
197	127	0
198	127	0
199	119	0
200	119	0
201	129	0
202	128	0
203	137	0
204	144	0
205	136	0
206	117	0
207	110	0
208	120	0
209	139	0
210	138	0
211	119	0
212	118	0
213	137	0
214	139	0
215	127	0
216	128	0
217	127	0
218	138	0
219	137	0
220	119	0
221	117	0
222	139	0
223	138	0
224	127	0
225	128	0
226	127	0
227	129	0
228	118	0
229	119	0
230	129	0
231	128	0
232	137	0
233	147	0
234	137	0
235	126	0
236	128	0
237	127	0
238	139	0
239	145	0
240	147	0
241	144	0
242	137	0
243	117	0
244	118	0
245	137	0
246	138	0
247	118	0
248	110	0
249	119	0
250	130	0
251	119	0
252	111	0
253	119	0
254	139	0
255	147	0
256	138	0
257	125	0
258	128	0
259	119	0
260	111	0
261	119	0
262	139	0
263	147	0
264	139	0
265	125	0
266	128	0
267	119	0
268	111	0
269	111	0
270	111	0
271	119	0
272	139	0
273	138	0
274	127	0
275	136	0
276	137	0
277	127	0
278	136	0
279	139	0
280	127	0
281	128	0
282	127	0
283	128	0
284	118	0
285	110	0
286	111	0
287	120	0
288	128	0
289	120	0
290	111	0
291	119	0
292	139	0
293	147	0
294	137	0
295	117	0
296	118	0
297	137	0
298	139	0
299	127	0
300	128	0
301	127	0
302	129	0
303	118	0
304	119	0
305	137	0
306	139	0
307	127	0
308	129	0
309	127	0
310	129	0
311	127	0
312	138	0
313	137	0
314	119	0
315	110	0
316	120	0
317	129	0
318	119	0
319	111	0
320	119	0
321	139	0
322	147	0
323	146	0
324	136	0
325	117	0
326	119	0
327	138	0
328	139	0
329	118	0
330	119	0
331	137	0
332	139	0
333	127	0
334	128	0
335	118	0
336	111	0
337	119	0
338	139	0
339	139	0
340	127	0
341	127	0
342	118	0
343	111	0
344	111	0
345	111	0
346	119	0
347	129	0
348	119	0
349	110	0
350	119	0
351	139	0
352	138	0
353	119	0
354	109	0
355	111	0
356	111	0
357	111	0
358	120	0
359	139	0
360	147	0
361	136	0
362	117	0
363	119	0
364	139	0
365	147	0
366	146	0
367	145	0
368	145	0
369	146	0
370	145	0
371	136	0
372	126	0
373	136	0
374	147	0
375	146	0
376	136	0
377	127	0
378	128	0
379	127	0
380	138	0
381	146	0
382	147	0
383	136	0
384	119	0
385	108	0
386	111	0
387	111	0
388	111	0
389	111	0
390	119	0
391	138	0
392	138	0
393	118	0
394	111	0
395	119	0
396	129	0
397	127	0
398	138	0
399	145	0
400	145	0
401	136	0
402	127	0
403	128	0
404	119	0
405	110	0
406	111	0
407	120	0
408	137	0
409	139	0
410	117	0
411	109	0
412	111	0
413	120	0
414	138	0
415	138	0
416	117	0
417	109	0
418	111	0
419	120	0
420	129	0
421	119	0
422	111	0
423	119	0
