Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 62,50 mV
Zero level = 127

N 	Smpl.	Trig

0	132	0
1	137	0
2	142	0
3	144	0
4	145	0
5	144	0
6	143	0
7	139	0
8	133	0
9	128	0
10	123	0
11	119	0
12	115	0
13	111	0
14	111	0
15	111	0
16	113	0
17	117	0
18	123	0
19	127	0
20	132	0
21	137	0
22	141	0
23	144	0
24	146	0
25	144	0
26	143	0
27	139	0
28	133	0
29	128	0
30	123	0
31	119	0
32	113	0
33	111	0
34	111	0
35	111	0
36	113	0
37	117	0
38	123	0
39	127	0
40	132	0
41	138	0
42	141	0
43	144	0
44	145	0
45	144	0
46	143	0
47	139	0
48	134	0
49	128	0
50	123	0
51	118	0
52	113	0
53	111	0
54	110	0
55	111	0
56	113	0
57	117	0
58	122	0
59	127	0
60	132	0
61	138	0
62	141	0
63	144	0
64	145	0
65	144	0
66	143	0
67	139	0
68	134	0
69	128	0
70	123	0
71	119	0
72	115	0
73	112	0
74	110	0
75	111	0
76	113	0
77	117	0
78	123	0
79	127	0
80	132	0
81	138	0
82	141	0
83	144	0
84	145	0
85	144	0
86	143	0
87	139	0
88	133	0
89	128	0
90	123	0
91	117	0
92	115	0
93	111	0
94	111	0
95	111	0
96	113	0
97	116	0
98	122	0
99	127	0
100	132	0
101	138	0
102	141	0
103	144	0
104	145	0
105	144	0
106	142	0
107	139	0
108	133	0
109	128	0
110	123	0
111	118	0
112	115	0
113	111	0
114	111	0
115	111	0
116	113	0
117	117	0
118	122	0
119	127	0
120	132	0
121	137	0
122	142	0
123	144	0
124	145	0
125	144	0
126	143	0
127	139	0
128	134	0
129	128	0
130	123	0
131	119	0
132	115	0
133	112	0
134	111	0
135	111	0
136	113	0
137	117	0
138	122	0
139	127	0
140	132	0
141	137	0
142	142	0
143	144	0
144	145	0
145	145	0
146	142	0
147	139	0
148	134	0
149	129	0
150	123	0
151	118	0
152	115	0
153	111	0
154	111	0
155	111	0
156	113	0
157	117	0
158	122	0
159	127	0
160	132	0
161	138	0
162	142	0
163	144	0
164	145	0
165	144	0
166	143	0
167	139	0
168	134	0
169	128	0
170	123	0
171	118	0
172	114	0
173	111	0
174	111	0
175	111	0
176	113	0
177	117	0
178	121	0
179	127	0
180	132	0
181	137	0
182	142	0
183	144	0
184	145	0
185	144	0
186	143	0
187	139	0
188	133	0
189	128	0
190	123	0
191	118	0
192	115	0
193	111	0
194	111	0
195	111	0
196	113	0
197	117	0
198	122	0
199	127	0
200	132	0
201	138	0
202	141	0
203	143	0
204	145	0
205	144	0
206	143	0
207	138	0
208	133	0
209	128	0
210	123	0
211	118	0
