Oscilloscope data. 
Time step = 125,0 uS
Voltage step = 62,50 mV
Zero level = 75

N 	Smpl.	Trig

0	124	0
1	101	0
2	107	0
3	81	0
4	113	0
5	97	0
6	106	0
7	78	0
8	97	0
9	99	0
10	107	0
11	95	0
12	88	0
13	107	0
14	107	0
15	120	0
16	91	0
17	115	0
18	107	0
19	135	0
20	105	0
21	117	0
22	107	0
23	132	0
24	120	0
25	113	0
26	107	0
27	111	0
28	126	0
29	104	0
30	107	0
31	88	0
32	119	0
33	97	0
34	107	0
35	77	0
36	103	0
37	97	0
38	107	0
39	86	0
40	91	0
41	103	0
42	107	0
43	109	0
44	89	0
45	111	0
46	107	0
47	131	0
48	99	0
49	117	0
50	107	0
51	136	0
52	115	0
53	115	0
54	107	0
55	121	0
56	125	0
57	107	0
58	106	0
59	96	0
60	123	0
61	99	0
62	107	0
63	79	0
64	110	0
65	96	0
66	107	0
67	81	0
68	95	0
69	100	0
70	107	0
71	99	0
72	88	0
73	109	0
74	107	0
75	123	0
76	94	0
77	115	0
78	107	0
79	137	0
80	108	0
81	117	0
82	107	0
83	129	0
84	122	0
85	111	0
86	107	0
87	107	0
88	125	0
89	102	0
90	106	0
91	85	0
92	116	0
93	96	0
94	107	0
95	77	0
96	100	0
97	97	0
98	107	0
99	90	0
100	89	0
101	105	0
102	107	0
103	114	0
104	89	0
105	113	0
106	107	0
107	133	0
108	101	0
109	117	0
110	107	0
111	135	0
112	117	0
113	113	0
114	107	0
115	117	0
116	126	0
117	106	0
118	107	0
119	93	0
120	121	0
121	98	0
122	107	0
123	78	0
124	107	0
125	97	0
126	107	0
127	82	0
128	92	0
129	101	0
130	107	0
131	104	0
132	88	0
133	110	0
134	107	0
135	127	0
136	96	0
137	117	0
138	107	0
139	137	0
140	111	0
141	116	0
142	107	0
143	126	0
144	123	0
145	109	0
146	107	0
147	102	0
148	125	0
149	101	0
150	107	0
151	81	0
152	113	0
153	97	0
154	107	0
155	78	0
156	97	0
157	99	0
158	106	0
159	94	0
160	88	0
161	107	0
162	107	0
163	119	0
164	91	0
165	115	0
166	107	0
167	135	0
168	105	0
169	117	0
170	107	0
171	133	0
172	119	0
173	113	0
174	107	0
175	113	0
176	126	0
177	105	0
178	106	0
179	89	0
180	119	0
181	97	0
182	106	0
183	77	0
184	105	0
185	97	0
186	107	0
187	85	0
188	90	0
189	103	0
190	107	0
191	109	0
192	89	0
193	111	0
194	107	0
195	130	0
196	99	0
197	117	0
198	107	0
199	136	0
200	114	0
201	116	0
202	107	0
203	122	0
204	125	0
205	108	0
206	107	0
207	97	0
208	124	0
209	100	0
210	107	0
211	79	0
212	111	0
213	97	0
214	107	0
215	80	0
216	95	0
217	100	0
218	107	0
219	98	0
220	87	0
221	108	0
222	107	0
223	123	0
224	93	0
225	116	0
226	107	0
227	136	0
228	107	0
229	117	0
230	107	0
231	129	0
232	122	0
233	111	0
234	107	0
235	107	0
236	125	0
237	102	0
238	107	0
239	85	0
240	117	0
241	97	0
242	107	0
243	77	0
244	101	0
245	97	0
246	107	0
247	89	0
248	89	0
249	105	0
250	106	0
251	113	0
252	89	0
253	113	0
254	107	0
255	133	0
256	101	0
257	117	0
258	107	0
259	135	0
260	117	0
261	114	0
262	107	0
263	117	0
264	126	0
265	106	0
266	107	0
267	94	0
268	122	0
269	99	0
270	107	0
271	78	0
272	107	0
273	97	0
274	107	0
275	83	0
276	93	0
277	101	0
278	107	0
279	103	0
280	87	0
281	110	0
282	107	0
283	126	0
284	95	0
285	116	0
286	107	0
287	137	0
288	111	0
289	117	0
290	107	0
291	127	0
292	123	0
293	109	0
294	107	0
295	103	0
296	125	0
297	101	0
298	107	0
299	82	0
300	113	0
301	97	0
302	106	0
303	79	0
304	98	0
305	99	0
306	106	0
307	93	0
308	89	0
309	106	0
310	107	0
311	117	0
312	90	0
313	114	0
314	107	0
315	134	0
316	104	0
317	117	0
318	107	0
319	133	0
320	119	0
321	113	0
322	107	0
323	113	0
324	126	0
325	105	0
326	107	0
327	89	0
328	119	0
329	97	0
330	107	0
331	77	0
332	105	0
333	97	0
334	107	0
335	85	0
336	91	0
337	102	0
338	107	0
339	108	0
340	88	0
341	113	0
342	106	0
343	129	0
344	97	0
345	117	0
346	107	0
347	136	0
348	113	0
349	115	0
350	107	0
351	123	0
352	125	0
353	109	0
354	107	0
355	98	0
356	124	0
357	100	0
358	107	0
359	81	0
360	111	0
361	96	0
362	107	0
363	79	0
364	95	0
365	99	0
366	107	0
367	97	0
368	87	0
369	109	0
370	107	0
371	121	0
372	93	0
373	115	0
374	107	0
375	136	0
376	107	0
377	117	0
378	107	0
379	129	0
380	121	0
381	113	0
382	107	0
383	109	0
384	127	0
385	103	0
386	107	0
387	86	0
388	117	0
389	97	0
390	107	0
391	77	0
392	101	0
393	98	0
394	107	0
395	88	0
396	89	0
397	104	0
398	107	0
399	113	0
400	89	0
401	113	0
402	107	0
403	132	0
404	101	0
405	117	0
406	107	0
407	135	0
408	116	0
409	115	0
410	107	0
411	119	0
412	125	0
413	106	0
414	107	0
415	94	0
416	122	0
417	99	0
418	107	0
419	78	0
420	108	0
421	97	0
422	107	0
423	81	0
424	93	0
425	101	0
426	107	0
427	102	0
428	87	0
429	110	0
430	107	0
431	126	0
432	95	0
433	117	0
434	106	0
435	137	0
436	110	0
437	117	0
438	107	0
439	127	0
440	124	0
441	110	0
442	107	0
443	104	0
444	125	0
445	101	0
446	107	0
447	82	0
448	115	0
449	97	0
450	107	0
451	78	0
452	99	0
453	98	0
454	106	0
455	92	0
456	88	0
457	106	0
458	106	0
459	117	0
460	89	0
461	113	0
462	107	0
463	135	0
464	103	0
465	117	0
466	107	0
467	133	0
468	119	0
469	113	0
470	107	0
471	114	0
472	126	0
473	105	0
474	107	0
475	90	0
476	120	0
477	98	0
478	107	0
479	77	0
480	105	0
481	97	0
482	107	0
483	85	0
484	91	0
485	103	0
486	106	0
487	107	0
488	87	0
489	111	0
490	106	0
491	129	0
492	97	0
493	117	0
494	107	0
495	136	0
496	113	0
497	115	0
498	107	0
499	123	0
500	125	0
501	109	0
502	107	0
503	99	0
504	125	0
505	100	0
506	107	0
507	80	0
508	111	0
509	96	0
510	107	0
511	80	0
512	96	0
513	100	0
514	106	0
515	97	0
516	87	0
517	107	0
518	107	0
519	121	0
520	92	0
521	115	0
522	107	0
523	136	0
524	107	0
525	117	0
526	107	0
527	131	0
528	121	0
529	111	0
530	107	0
531	110	0
532	127	0
533	104	0
534	107	0
535	87	0
536	118	0
537	97	0
538	107	0
539	77	0
540	102	0
541	97	0
542	106	0
543	88	0
544	89	0
545	105	0
546	107	0
547	111	0
548	89	0
549	113	0
550	107	0
551	132	0
552	100	0
553	117	0
554	107	0
555	135	0
556	117	0
557	115	0
558	107	0
559	119	0
560	126	0
561	107	0
562	107	0
563	95	0
564	123	0
565	99	0
566	107	0
567	79	0
568	109	0
569	96	0
570	106	0
571	81	0
572	94	0
573	101	0
574	107	0
575	101	0
576	87	0
577	109	0
578	107	0
579	125	0
580	94	0
581	115	0
582	107	0
583	136	0
584	110	0
585	117	0
586	107	0
587	127	0
588	123	0
589	111	0
590	107	0
591	105	0
592	126	0
593	102	0
594	107	0
595	83	0
596	115	0
597	97	0
598	106	0
599	78	0
600	99	0
601	98	0
602	107	0
603	91	0
604	89	0
605	105	0
606	107	0
607	115	0
608	89	0
609	113	0
610	107	0
611	133	0
612	102	0
613	117	0
614	107	0
615	133	0
616	119	0
617	113	0
618	107	0
619	115	0
620	127	0
621	105	0
622	107	0
623	91	0
624	121	0
625	99	0
626	107	0
627	77	0
628	105	0
629	97	0
630	106	0
631	84	0
632	91	0
633	102	0
634	106	0
635	105	0
636	87	0
637	111	0
638	106	0
639	129	0
640	97	0
641	117	0
642	107	0
643	137	0
644	113	0
645	116	0
646	107	0
647	125	0
648	125	0
649	109	0
650	107	0
651	100	0
652	125	0
653	101	0
654	107	0
655	81	0
656	113	0
657	97	0
658	106	0
659	79	0
660	97	0
661	99	0
662	106	0
663	96	0
664	87	0
665	107	0
666	107	0
667	120	0
668	91	0
669	115	0
670	107	0
671	135	0
672	106	0
673	117	0
674	107	0
675	131	0
676	121	0
677	112	0
678	107	0
679	110	0
680	127	0
681	105	0
682	107	0
683	87	0
684	118	0
685	97	0
686	107	0
687	78	0
688	103	0
689	97	0
690	107	0
691	87	0
692	89	0
693	103	0
694	106	0
695	111	0
696	87	0
697	112	0
698	106	0
699	131	0
700	99	0
701	117	0
702	107	0
703	135	0
704	115	0
705	115	0
706	107	0
707	120	0
708	126	0
709	107	0
710	107	0
711	96	0
712	123	0
713	99	0
714	107	0
715	79	0
716	109	0
717	97	0
718	107	0
719	81	0
720	94	0
721	101	0
722	106	0
723	101	0
724	86	0
725	109	0
726	106	0
727	124	0
728	94	0
729	116	0
730	107	0
731	136	0
732	109	0
733	117	0
734	107	0
735	128	0
736	123	0
737	111	0
738	108	0
739	106	0
740	126	0
741	102	0
742	107	0
743	84	0
744	117	0
745	97	0
746	106	0
747	78	0
748	100	0
749	98	0
750	107	0
751	91	0
752	88	0
753	105	0
754	106	0
755	114	0
756	89	0
757	113	0
758	107	0
759	133	0
760	102	0
761	117	0
762	107	0
763	134	0
764	118	0
765	113	0
766	107	0
767	115	0
768	127	0
769	105	0
770	108	0
771	93	0
772	121	0
773	99	0
774	107	0
775	78	0
776	107	0
777	97	0
778	107	0
779	83	0
780	91	0
781	102	0
782	107	0
783	105	0
784	87	0
785	111	0
786	106	0
787	128	0
788	96	0
789	116	0
790	106	0
791	136	0
792	113	0
793	115	0
794	107	0
795	125	0
796	125	0
797	109	0
798	107	0
799	101	0
800	125	0
801	101	0
802	107	0
803	81	0
804	113	0
805	97	0
806	107	0
807	79	0
808	97	0
809	99	0
810	106	0
811	95	0
812	87	0
813	107	0
814	105	0
815	119	0
816	91	0
817	115	0
818	107	0
819	135	0
820	105	0
821	117	0
822	107	0
823	131	0
824	121	0
825	112	0
826	107	0
827	111	0
828	127	0
829	104	0
830	107	0
831	88	0
832	119	0
833	97	0
834	107	0
835	77	0
836	103	0
837	97	0
838	106	0
839	87	0
840	89	0
841	103	0
842	106	0
843	110	0
844	88	0
845	112	0
846	106	0
847	130	0
848	99	0
849	117	0
850	107	0
851	135	0
852	115	0
853	115	0
854	108	0
855	121	0
856	126	0
857	108	0
858	107	0
859	97	0
860	123	0
861	99	0
862	107	0
863	79	0
864	110	0
865	97	0
866	106	0
867	81	0
868	94	0
869	101	0
870	106	0
871	99	0
872	86	0
873	109	0
874	106	0
875	123	0
876	93	0
877	115	0
878	106	0
879	136	0
880	108	0
881	117	0
882	107	0
883	129	0
884	123	0
885	111	0
886	108	0
887	107	0
888	126	0
889	103	0
890	108	0
891	85	0
892	117	0
893	97	0
894	107	0
895	78	0
896	100	0
897	98	0
898	107	0
899	90	0
900	89	0
901	105	0
902	105	0
903	114	0
904	89	0
905	113	0
906	106	0
907	133	0
908	101	0
909	117	0
910	107	0
911	134	0
912	118	0
913	114	0
914	108	0
915	117	0
916	127	0
917	106	0
918	107	0
919	93	0
920	122	0
921	99	0
922	107	0
923	78	0
924	107	0
925	97	0
926	106	0
927	83	0
928	91	0
929	101	0
930	106	0
931	104	0
932	87	0
933	110	0
934	107	0
935	127	0
936	95	0
937	116	0
938	107	0
939	136	0
940	111	0
941	116	0
942	107	0
943	125	0
944	125	0
945	109	0
946	107	0
947	102	0
948	126	0
949	101	0
950	107	0
951	82	0
952	113	0
953	97	0
954	107	0
955	79	0
956	97	0
957	99	0
958	106	0
959	94	0
960	87	0
961	107	0
962	106	0
963	118	0
964	90	0
965	114	0
966	107	0
967	135	0
968	105	0
969	117	0
970	107	0
971	132	0
972	121	0
973	113	0
974	108	0
