Oscilloscope data. 
Time step = 10,00 uS
Voltage step = 62,50 mV
Zero level = 87

N 	Smpl.	Trig

0	83	0
1	83	0
2	99	0
3	124	0
4	141	0
5	141	0
6	124	0
7	101	0
8	85	0
9	85	0
10	101	0
11	123	0
12	139	0
13	137	0
14	123	0
15	103	0
16	89	0
17	89	0
18	103	0
19	121	0
20	133	0
21	133	0
22	121	0
23	105	0
24	95	0
25	95	0
26	105	0
27	119	0
28	128	0
29	127	0
30	118	0
31	107	0
32	99	0
33	99	0
34	107	0
35	117	0
36	123	0
37	123	0
38	117	0
39	108	0
40	103	0
41	103	0
42	108	0
43	116	0
44	121	0
45	121	0
46	116	0
47	109	0
48	104	0
49	103	0
50	109	0
51	116	0
52	121	0
53	123	0
54	117	0
55	108	0
56	103	0
57	101	0
58	108	0
59	117	0
60	124	0
61	125	0
62	118	0
63	107	0
64	99	0
65	99	0
66	107	0
67	119	0
68	129	0
69	129	0
70	120	0
71	105	0
72	93	0
73	93	0
74	104	0
75	121	0
76	133	0
77	135	0
78	121	0
79	103	0
80	89	0
81	87	0
82	101	0
83	123	0
84	139	0
85	139	0
86	124	0
87	101	0
88	85	0
89	84	0
90	100	0
91	124	0
92	141	0
93	141	0
94	125	0
95	100	0
96	83	0
97	83	0
98	99	0
99	124	0
100	141	0
101	141	0
102	125	0
103	100	0
104	84	0
105	83	0
106	101	0
107	123	0
108	140	0
109	140	0
110	124	0
111	103	0
112	87	0
113	87	0
114	103	0
115	123	0
116	135	0
117	135	0
118	121	0
119	104	0
120	92	0
121	92	0
122	104	0
123	120	0
124	131	0
125	131	0
126	119	0
127	105	0
128	97	0
129	97	0
130	106	0
131	117	0
132	125	0
133	125	0
134	117	0
135	108	0
136	101	0
137	101	0
138	108	0
139	116	0
140	123	0
141	123	0
142	117	0
143	109	0
144	103	0
145	103	0
146	109	0
147	116	0
148	121	0
149	121	0
150	117	0
151	109	0
152	103	0
153	103	0
154	108	0
155	117	0
156	123	0
157	123	0
158	117	0
159	108	0
160	101	0
161	99	0
162	107	0
163	117	0
164	127	0
165	127	0
166	119	0
167	105	0
168	96	0
169	96	0
170	105	0
171	120	0
172	131	0
173	131	0
174	121	0
175	105	0
176	91	0
177	91	0
