Oscilloscope data. 
Time step = 10,00 uS
Voltage step = 31,25 mV
Zero level = 115

N 	Smpl.	Trig

0	134	0
1	169	0
2	181	0
3	161	0
4	121	0
5	79	0
6	54	0
7	58	0
8	89	0
9	133	0
10	169	0
11	181	0
12	162	0
13	123	0
14	81	0
15	55	0
16	57	0
17	87	0
18	131	0
19	167	0
20	181	0
21	164	0
22	125	0
23	82	0
24	56	0
25	57	0
26	86	0
27	128	0
28	166	0
29	181	0
30	165	0
31	128	0
32	85	0
33	57	0
34	57	0
35	83	0
36	126	0
37	165	0
38	181	0
39	167	0
40	129	0
41	87	0
42	57	0
43	55	0
44	81	0
45	124	0
46	163	0
47	180	0
48	169	0
49	131	0
50	89	0
51	57	0
52	55	0
53	79	0
54	121	0
55	161	0
56	181	0
57	169	0
58	133	0
59	90	0
60	59	0
61	54	0
62	78	0
63	119	0
64	161	0
65	179	0
66	170	0
67	136	0
68	92	0
69	59	0
70	53	0
71	76	0
72	117	0
73	158	0
74	180	0
75	171	0
76	137	0
77	94	0
78	61	0
79	53	0
80	75	0
81	115	0
82	157	0
83	179	0
84	173	0
85	140	0
86	97	0
87	62	0
88	53	0
89	73	0
90	113	0
91	155	0
92	179	0
93	174	0
94	142	0
95	99	0
96	64	0
97	52	0
98	71	0
99	111	0
100	153	0
101	178	0
102	175	0
103	144	0
104	101	0
105	64	0
106	52	0
107	69	0
108	108	0
109	151	0
110	177	0
111	175	0
112	145	0
113	103	0
114	65	0
115	52	0
116	67	0
117	106	0
118	149	0
119	177	0
120	176	0
121	147	0
122	105	0
123	67	0
124	53	0
125	66	0
126	104	0
127	146	0
128	176	0
129	177	0
130	149	0
131	107	0
132	69	0
133	53	0
134	65	0
135	101	0
136	145	0
137	175	0
138	177	0
139	151	0
140	110	0
141	70	0
142	53	0
143	64	0
144	99	0
145	143	0
146	174	0
147	179	0
148	154	0
149	111	0
150	71	0
151	53	0
152	63	0
153	97	0
154	141	0
155	173	0
156	179	0
157	155	0
158	113	0
159	74	0
160	53	0
161	61	0
162	95	0
163	139	0
164	172	0
165	179	0
166	157	0
167	117	0
168	75	0
169	53	0
170	61	0
171	93	0
172	137	0
173	170	0
174	179	0
175	159	0
176	118	0
177	77	0
178	53	0
179	59	0
180	91	0
181	135	0
182	170	0
183	180	0
184	161	0
185	121	0
186	79	0
187	54	0
188	59	0
189	89	0
190	133	0
191	169	0
192	180	0
193	162	0
194	123	0
195	81	0
196	55	0
197	57	0
198	87	0
199	131	0
200	167	0
201	180	0
202	164	0
203	125	0
204	82	0
205	55	0
206	57	0
207	85	0
208	129	0
209	166	0
210	181	0
211	165	0
212	128	0
213	84	0
214	57	0
215	55	0
216	84	0
217	126	0
218	165	0
219	181	0
220	166	0
221	129	0
222	86	0
223	57	0
224	55	0
225	81	0
226	124	0
227	162	0
228	180	0
229	167	0
230	131	0
231	89	0
232	57	0
233	54	0
234	80	0
235	121	0
236	161	0
237	180	0
238	169	0
239	133	0
240	90	0
241	59	0
242	54	0
243	78	0
244	119	0
245	159	0
246	180	0
247	169	0
248	136	0
249	93	0
250	60	0
251	53	0
252	76	0
253	117	0
254	158	0
255	179	0
256	171	0
257	137	0
258	95	0
259	61	0
260	53	0
261	75	0
262	115	0
263	157	0
264	179	0
265	172	0
266	140	0
267	97	0
268	62	0
269	53	0
270	73	0
271	113	0
272	155	0
273	179	0
274	173	0
275	142	0
276	98	0
277	64	0
278	52	0
279	71	0
280	111	0
281	152	0
282	178	0
283	174	0
284	145	0
285	101	0
286	64	0
287	53	0
288	69	0
289	109	0
290	151	0
291	177	0
292	175	0
293	145	0
294	103	0
295	65	0
296	52	0
297	69	0
298	106	0
299	149	0
300	177	0
301	176	0
302	147	0
303	105	0
304	67	0
305	52	0
306	67	0
307	104	0
308	147	0
309	176	0
310	177	0
311	149	0
312	107	0
313	69	0
314	52	0
315	65	0
316	102	0
317	145	0
318	175	0
319	178	0
320	152	0
321	109	0
322	70	0
323	51	0
324	65	0
325	99	0
326	143	0
327	174	0
328	178	0
329	153	0
330	111	0
331	71	0
332	53	0
333	63	0
334	98	0
335	141	0
336	173	0
337	179	0
338	156	0
339	114	0
340	73	0
341	53	0
342	61	0
343	95	0
344	139	0
345	172	0
346	179	0
347	157	0
348	116	0
349	75	0
350	53	0
351	60	0
352	94	0
