Oscilloscope data. 
Time step = 1,250 uS
Voltage step = 31,25 mV
Zero level = 115

N 	Smpl.	Trig

0	121	0
1	121	0
2	115	0
3	118	0
4	115	0
5	113	0
6	113	0
7	123	0
8	114	0
9	121	0
10	117	0
11	112	0
12	118	0
13	116	0
14	107	0
15	110	0
16	113	0
17	109	0
18	116	0
19	107	0
20	109	0
21	109	0
22	116	0
23	113	0
24	107	0
25	115	0
26	118	0
27	113	0
28	109	0
29	115	0
30	115	0
31	117	0
32	115	0
33	124	0
34	114	0
35	126	0
36	116	0
37	127	0
38	112	0
39	115	0
40	120	0
41	126	0
42	123	0
43	110	0
44	122	0
45	127	0
46	122	0
47	127	0
48	121	0
49	113	0
50	123	0
51	113	0
52	111	0
53	115	0
54	116	0
55	106	0
56	120	0
57	113	0
58	109	0
59	118	0
60	115	0
61	111	0
62	120	0
63	110	0
64	118	0
65	115	0
66	111	0
67	112	0
68	118	0
69	127	0
70	125	0
71	115	0
72	121	0
73	121	0
74	117	0
75	126	0
76	120	0
77	117	0
78	125	0
79	123	0
80	122	0
81	116	0
82	121	0
83	123	0
84	116	0
85	129	0
86	115	0
87	121	0
88	112	0
89	113	0
90	113	0
91	107	0
92	121	0
93	117	0
94	111	0
95	110	0
96	111	0
97	111	0
98	113	0
99	105	0
100	111	0
101	107	0
102	108	0
103	111	0
104	108	0
105	115	0
106	122	0
107	117	0
108	112	0
109	119	0
110	117	0
111	117	0
112	111	0
113	123	0
114	129	0
115	121	0
116	118	0
117	124	0
118	123	0
119	126	0
120	114	0
121	122	0
122	127	0
123	125	0
124	121	0
125	127	0
126	118	0
127	115	0
128	119	0
129	118	0
130	109	0
131	121	0
132	113	0
133	115	0
134	113	0
135	112	0
136	103	0
137	103	0
138	110	0
139	115	0
140	108	0
141	105	0
142	108	0
143	109	0
144	105	0
145	113	0
146	118	0
147	115	0
148	121	0
149	113	0
150	120	0
151	117	0
152	126	0
153	122	0
154	125	0
155	122	0
156	113	0
157	121	0
158	119	0
159	127	0
160	113	0
161	117	0
162	129	0
163	123	0
164	121	0
165	129	0
166	127	0
167	121	0
168	109	0
169	117	0
170	119	0
171	109	0
172	111	0
173	110	0
174	105	0
175	111	0
176	110	0
177	110	0
178	111	0
179	101	0
180	107	0
181	106	0
182	102	0
183	115	0
184	113	0
185	110	0
186	97	0
187	114	0
188	117	0
189	117	0
190	115	0
191	126	0
192	116	0
193	129	0
194	135	0
195	122	0
196	123	0
197	125	0
198	123	0
199	124	0
200	123	0
201	113	0
202	133	0
203	109	0
204	123	0
205	117	0
206	126	0
207	115	0
208	117	0
209	119	0
210	117	0
211	113	0
212	110	0
213	119	0
214	102	0
215	112	0
216	113	0
217	110	0
218	97	0
219	108	0
220	106	0
221	113	0
222	107	0
223	118	0
224	113	0
225	115	0
226	111	0
227	109	0
228	112	0
229	123	0
230	130	0
231	125	0
232	117	0
233	125	0
234	122	0
235	122	0
236	124	0
237	121	0
238	121	0
239	134	0
240	126	0
241	116	0
242	126	0
243	121	0
244	128	0
245	120	0
246	118	0
247	140	0
248	117	0
249	107	0
250	115	0
251	121	0
252	107	0
253	103	0
254	109	0
255	113	0
256	107	0
257	99	0
258	100	0
259	104	0
260	111	0
261	103	0
262	109	0
263	106	0
264	99	0
265	103	0
266	118	0
267	109	0
268	113	0
269	127	0
270	125	0
271	124	0
272	126	0
273	129	0
274	119	0
275	125	0
276	127	0
277	119	0
278	117	0
279	133	0
280	129	0
281	130	0
282	127	0
283	125	0
284	125	0
285	133	0
286	121	0
287	109	0
288	110	0
289	125	0
290	109	0
291	113	0
292	121	0
293	116	0
294	105	0
295	105	0
296	114	0
297	105	0
298	105	0
299	93	0
300	110	0
301	111	0
302	101	0
303	101	0
304	107	0
305	117	0
306	115	0
307	121	0
308	125	0
309	120	0
310	119	0
311	119	0
312	122	0
313	119	0
314	127	0
315	137	0
316	124	0
317	131	0
318	126	0
319	131	0
320	129	0
321	130	0
322	129	0
323	121	0
324	117	0
325	122	0
326	113	0
327	123	0
328	115	0
329	120	0
330	108	0
331	111	0
332	111	0
333	102	0
334	97	0
335	105	0
336	101	0
337	99	0
338	109	0
339	102	0
340	102	0
341	105	0
342	98	0
343	93	0
344	114	0
345	119	0
346	121	0
347	120	0
348	109	0
349	117	0
350	122	0
351	115	0
352	126	0
353	127	0
354	127	0
355	124	0
356	122	0
357	135	0
358	143	0
359	134	0
360	129	0
361	131	0
362	131	0
363	132	0
364	115	0
365	135	0
366	134	0
367	123	0
368	117	0
369	111	0
370	108	0
371	101	0
372	114	0
373	109	0
374	105	0
375	99	0
376	101	0
377	105	0
378	101	0
379	101	0
380	99	0
381	97	0
382	97	0
383	98	0
384	113	0
385	116	0
386	113	0
387	109	0
388	119	0
389	116	0
390	117	0
391	126	0
392	112	0
393	131	0
394	133	0
395	134	0
396	133	0
397	134	0
398	132	0
399	127	0
400	135	0
401	141	0
402	123	0
403	125	0
404	124	0
405	129	0
406	128	0
407	115	0
408	113	0
409	114	0
410	113	0
411	107	0
412	116	0
413	108	0
414	106	0
415	94	0
416	91	0
417	101	0
418	107	0
419	96	0
420	109	0
421	101	0
422	101	0
423	98	0
424	96	0
425	112	0
426	107	0
427	117	0
428	116	0
429	115	0
430	119	0
431	127	0
432	117	0
433	123	0
434	128	0
435	139	0
436	118	0
437	131	0
438	133	0
439	134	0
440	136	0
441	129	0
442	128	0
443	127	0
444	136	0
445	118	0
446	127	0
447	124	0
448	118	0
449	129	0
450	118	0
451	116	0
452	108	0
453	106	0
454	103	0
455	99	0
456	105	0
457	111	0
458	95	0
459	95	0
460	104	0
461	99	0
462	101	0
463	103	0
464	110	0
465	109	0
466	115	0
467	117	0
468	115	0
469	113	0
470	121	0
471	124	0
472	117	0
473	126	0
474	136	0
475	118	0
476	127	0
477	134	0
478	136	0
479	123	0
480	131	0
481	133	0
482	131	0
483	134	0
484	128	0
485	124	0
486	127	0
487	118	0
488	120	0
489	109	0
490	116	0
491	105	0
492	107	0
493	107	0
494	92	0
495	93	0
496	101	0
497	112	0
498	99	0
499	95	0
500	109	0
501	97	0
502	106	0
503	106	0
504	99	0
505	109	0
506	105	0
507	107	0
