Oscilloscope data. 
Time step = 1,250 uS
Voltage step = 31,25 mV
Zero level = 115

N 	Smpl.	Trig

0	123	0
1	125	0
2	119	0
3	123	0
4	115	0
5	114	0
6	114	0
7	121	0
8	116	0
9	116	0
10	102	0
11	113	0
12	103	0
13	99	0
14	104	0
15	100	0
16	111	0
17	101	0
18	106	0
19	103	0
20	124	0
21	110	0
22	104	0
23	111	0
24	123	0
25	117	0
26	111	0
27	109	0
28	123	0
29	120	0
30	122	0
31	129	0
32	129	0
33	129	0
34	125	0
35	127	0
36	122	0
37	120	0
38	119	0
39	114	0
40	125	0
41	127	0
42	123	0
43	123	0
44	123	0
45	111	0
46	109	0
47	115	0
48	109	0
49	113	0
50	113	0
51	115	0
52	115	0
53	111	0
54	103	0
55	111	0
56	113	0
57	115	0
58	118	0
59	114	0
60	107	0
61	121	0
62	122	0
63	111	0
64	118	0
65	111	0
66	115	0
67	123	0
68	130	0
69	123	0
70	118	0
71	118	0
72	125	0
73	127	0
74	121	0
75	132	0
76	125	0
77	119	0
78	117	0
79	113	0
80	110	0
81	120	0
82	116	0
83	118	0
84	109	0
85	115	0
86	113	0
87	113	0
88	117	0
89	108	0
90	115	0
91	103	0
92	105	0
93	110	0
94	113	0
95	121	0
96	115	0
97	107	0
98	126	0
99	111	0
100	117	0
101	113	0
102	119	0
103	131	0
104	127	0
105	123	0
106	113	0
107	131	0
108	120	0
109	127	0
110	118	0
111	122	0
112	131	0
113	131	0
114	120	0
115	118	0
116	121	0
117	117	0
118	116	0
119	109	0
120	123	0
121	99	0
122	115	0
123	113	0
124	106	0
125	107	0
126	97	0
127	111	0
128	106	0
129	107	0
130	113	0
131	106	0
132	111	0
133	118	0
134	105	0
135	120	0
136	105	0
137	116	0
138	112	0
139	107	0
140	124	0
141	112	0
142	115	0
143	119	0
144	119	0
145	117	0
146	115	0
147	126	0
148	125	0
149	125	0
150	126	0
151	119	0
152	113	0
153	118	0
154	120	0
155	111	0
156	115	0
157	119	0
158	117	0
159	111	0
160	113	0
161	105	0
162	120	0
163	109	0
164	113	0
165	105	0
166	117	0
167	111	0
168	110	0
169	119	0
170	115	0
171	119	0
172	107	0
173	111	0
174	113	0
175	114	0
176	119	0
177	113	0
178	115	0
179	122	0
180	119	0
181	118	0
182	121	0
183	123	0
184	109	0
185	121	0
186	119	0
187	121	0
188	119	0
189	115	0
190	123	0
191	111	0
192	116	0
193	111	0
194	114	0
195	114	0
196	112	0
197	117	0
198	117	0
199	117	0
200	110	0
201	121	0
202	107	0
203	107	0
204	108	0
205	111	0
206	117	0
207	110	0
208	107	0
209	117	0
210	119	0
211	112	0
212	111	0
213	118	0
214	121	0
215	123	0
216	122	0
217	128	0
218	113	0
219	117	0
220	121	0
221	113	0
222	125	0
223	123	0
224	121	0
225	122	0
226	127	0
227	116	0
228	126	0
229	119	0
230	122	0
231	119	0
232	119	0
233	118	0
234	113	0
235	112	0
236	111	0
237	105	0
238	111	0
239	120	0
240	111	0
241	107	0
242	105	0
243	111	0
244	119	0
245	113	0
246	114	0
247	114	0
248	111	0
249	117	0
250	113	0
251	114	0
252	120	0
253	127	0
254	120	0
255	117	0
256	129	0
257	121	0
258	123	0
259	112	0
260	120	0
261	131	0
262	125	0
263	113	0
264	118	0
265	124	0
266	120	0
267	121	0
268	115	0
269	118	0
270	114	0
271	111	0
272	110	0
273	114	0
274	113	0
275	115	0
276	115	0
277	101	0
278	117	0
279	107	0
280	106	0
281	108	0
282	101	0
283	111	0
284	106	0
285	115	0
286	110	0
287	114	0
288	110	0
289	109	0
290	117	0
291	117	0
292	120	0
293	125	0
294	117	0
295	119	0
296	129	0
297	120	0
298	124	0
299	127	0
300	122	0
301	119	0
302	123	0
303	119	0
304	109	0
305	118	0
306	124	0
307	122	0
308	121	0
309	113	0
310	118	0
311	111	0
312	117	0
313	108	0
314	107	0
315	113	0
316	108	0
317	111	0
318	97	0
319	109	0
320	108	0
321	110	0
322	99	0
323	109	0
324	110	0
325	107	0
326	105	0
327	115	0
328	110	0
329	115	0
330	121	0
331	118	0
332	114	0
333	115	0
334	121	0
335	120	0
336	123	0
337	125	0
338	121	0
339	128	0
340	119	0
341	129	0
342	129	0
343	114	0
344	126	0
345	121	0
346	118	0
347	111	0
348	110	0
349	113	0
350	107	0
351	101	0
352	106	0
353	120	0
354	113	0
355	103	0
356	110	0
357	101	0
358	109	0
359	97	0
360	109	0
361	115	0
362	109	0
363	102	0
364	113	0
365	114	0
366	112	0
367	113	0
368	123	0
369	111	0
370	120	0
371	119	0
372	126	0
373	123	0
374	124	0
375	125	0
376	121	0
377	131	0
378	125	0
379	130	0
380	119	0
381	125	0
382	121	0
383	127	0
384	113	0
385	125	0
386	117	0
387	121	0
388	111	0
389	124	0
390	107	0
391	103	0
392	102	0
393	101	0
394	101	0
395	115	0
396	112	0
397	99	0
398	103	0
399	104	0
400	119	0
401	104	0
402	108	0
403	110	0
404	121	0
405	111	0
406	118	0
407	121	0
408	116	0
409	129	0
410	124	0
411	123	0
412	127	0
413	135	0
414	126	0
415	133	0
416	133	0
417	123	0
418	124	0
419	121	0
420	132	0
421	122	0
422	121	0
423	111	0
424	116	0
425	108	0
426	103	0
427	106	0
428	101	0
429	97	0
430	105	0
431	105	0
432	113	0
433	103	0
434	113	0
435	107	0
436	99	0
437	102	0
438	120	0
439	115	0
440	117	0
441	106	0
442	106	0
443	126	0
444	123	0
445	119	0
446	129	0
447	123	0
448	129	0
449	133	0
450	133	0
451	128	0
452	123	0
453	128	0
454	125	0
455	127	0
456	123	0
457	123	0
458	125	0
459	118	0
460	124	0
461	125	0
462	112	0
463	107	0
464	111	0
465	105	0
466	99	0
467	104	0
468	105	0
469	105	0
470	108	0
471	104	0
472	97	0
473	97	0
474	107	0
475	109	0
476	113	0
477	112	0
478	116	0
479	108	0
480	109	0
481	123	0
482	120	0
483	110	0
484	120	0
485	129	0
486	126	0
487	123	0
488	122	0
489	128	0
490	125	0
491	137	0
492	139	0
493	132	0
494	130	0
495	133	0
496	117	0
497	123	0
498	112	0
499	123	0
500	110	0
501	117	0
502	101	0
503	110	0
504	102	0
505	97	0
506	99	0
507	105	0
508	103	0
509	100	0
510	92	0
511	97	0
512	97	0
513	113	0
514	101	0
515	105	0
516	110	0
517	115	0
518	105	0
519	116	0
520	121	0
521	117	0
522	137	0
523	136	0
524	131	0
525	132	0
526	122	0
527	134	0
528	137	0
529	123	0
530	137	0
531	133	0
532	132	0
533	129	0
534	125	0
535	118	0
536	122	0
537	108	0
538	121	0
539	125	0
540	105	0
541	104	0
542	110	0
543	97	0
544	103	0
545	103	0
546	98	0
547	97	0
548	99	0
549	98	0
550	95	0
551	107	0
552	105	0
553	105	0
554	110	0
555	102	0
556	117	0
557	119	0
558	112	0
559	125	0
560	115	0
561	123	0
562	129	0
563	136	0
564	133	0
565	136	0
566	125	0
567	133	0
568	137	0
569	129	0
570	125	0
571	135	0
572	123	0
573	136	0
574	129	0
575	117	0
576	123	0
577	115	0
578	104	0
579	108	0
580	103	0
581	106	0
582	100	0
583	101	0
584	93	0
585	102	0
586	94	0
587	97	0
588	110	0
589	99	0
590	103	0
591	111	0
592	111	0
593	110	0
594	105	0
595	114	0
596	111	0
597	131	0
598	117	0
599	119	0
600	139	0
601	126	0
602	134	0
603	131	0
604	135	0
605	124	0
606	137	0
607	140	0
608	131	0
609	121	0
610	126	0
611	127	0
612	124	0
613	123	0
614	113	0
615	119	0
616	121	0
617	112	0
618	99	0
619	100	0
620	105	0
621	97	0
622	109	0
623	97	0
624	101	0
625	99	0
626	99	0
627	110	0
628	98	0
629	111	0
630	105	0
631	107	0
632	114	0
633	107	0
634	121	0
635	117	0
636	124	0
637	125	0
638	128	0
639	128	0
640	131	0
641	126	0
642	127	0
643	128	0
644	123	0
645	132	0
646	125	0
647	123	0
648	133	0
649	113	0
650	131	0
651	121	0
652	124	0
653	119	0
654	105	0
655	115	0
656	102	0
657	112	0
658	109	0
659	97	0
660	107	0
661	107	0
662	107	0
663	101	0
664	109	0
665	98	0
666	105	0
667	110	0
668	109	0
669	111	0
670	111	0
671	126	0
672	126	0
673	129	0
674	117	0
675	125	0
676	123	0
677	131	0
678	132	0
679	133	0
680	135	0
681	130	0
682	132	0
683	131	0
684	135	0
685	123	0
686	125	0
687	120	0
688	129	0
689	115	0
690	119	0
691	118	0
692	115	0
693	112	0
694	106	0
695	110	0
696	109	0
697	109	0
698	109	0
699	97	0
700	103	0
701	102	0
702	109	0
703	103	0
704	117	0
705	109	0
706	110	0
707	112	0
708	115	0
709	116	0
710	119	0
711	112	0
712	128	0
713	113	0
714	127	0
715	128	0
716	128	0
717	125	0
718	124	0
719	133	0
720	121	0
721	121	0
